ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782717927726,9.2,14.3,2.1,13.2,11.2,1332,2065
1782717928730,9.6,15.7,5.3,13.4,3.2,1332,2065
1782717929732,8.0,5.6,10.3,6.5,11.2,1332,2065
1782717930733,7.4,4.2,9.2,8.5,7.9,1332,2065
1782717931734,8.8,13.3,6.5,6.2,9.9,1332,2065
1782717932735,9.0,5.2,11.8,10.8,7.5,1334,2063
1782717933774,8.1,3.0,7.1,14.6,9.9,1334,2063
1782717934775,12.4,3.2,22.2,10.8,19.7,1334,2063
1782717935784,9.5,4.4,6.7,13.8,12.7,1336,2061
1782717936785,8.4,1.0,17.1,5.3,12.7,1336,2061
1782717937798,6.9,4.0,9.1,10.6,4.8,1336,2061
1782717938801,5.1,3.2,6.6,5.4,4.2,1337,2060
1782717939804,14.8,14.5,8.5,9.4,32.1,1339,2058
1782717940807,11.9,16.0,7.4,11.0,16.4,1339,2058
1782717941809,10.7,3.4,14.1,9.7,17.4,1339,2058
1782717942813,9.6,4.3,13.4,11.9,8.4,1339,2058
1782717943815,10.1,14.9,17.9,4.3,5.3,1339,2058
1782717944850,12.3,21.8,15.1,9.7,5.3,1339,2058
1782717945852,11.7,7.4,15.4,12.6,11.2,1340,2057
1782717946858,12.8,9.6,2.1,23.4,25.0,1341,2056
1782717947859,14.1,11.6,9.0,14.5,21.5,1342,2056
1782717948887,11.8,12.9,11.0,8.0,17.4,1343,2055
1782717949890,10.2,11.0,8.9,10.3,10.6,1345,2052
1782717950893,10.6,14.1,10.5,12.2,6.7,1346,2051
1782717951900,13.3,17.9,4.5,12.4,20.5,1347,2050
1782717952902,2.2,0.0,2.0,2.0,6.8,1347,2050
1782717954023,0.7,0.0,0.0,0.0,0.0,1347,2050
1782717955026,7.1,10.5,3.2,5.3,11.3,1347,2050
1782717956030,32.7,11.8,35.0,44.8,40.6,1352,2045
1782717957034,36.7,21.4,30.6,55.1,44.8,1363,2034
1782717958037,37.7,25.0,37.8,38.5,53.3,1378,2019
1782717959040,29.3,22.0,12.6,53.2,35.4,1388,2010
1782717960046,36.9,46.4,16.3,44.2,45.0,1398,2000
1782717961056,27.4,32.1,20.2,31.2,27.8,1398,1999
1782717962059,27.6,32.9,31.3,19.1,25.0,1398,1999
1782717963060,31.1,40.0,33.7,20.7,36.6,1398,1999
1782717964070,27.2,38.5,23.9,17.2,30.0,1398,1999
1782717965075,33.8,20.9,37.9,39.5,36.9,1398,1999
1782717966077,31.0,32.6,16.5,32.0,46.3,1398,1999
1782717967079,21.0,26.4,21.4,18.6,17.6,1398,1999
1782717968105,19.9,36.4,12.5,14.6,20.3,1398,1999
1782717969118,21.7,15.6,18.9,35.4,15.4,1398,1999
1782717970127,22.8,14.3,31.7,20.7,27.3,1398,1999
1782717971134,24.2,16.1,32.9,35.7,12.2,1399,1998
1782717972138,33.0,38.8,19.8,43.4,32.9,1399,1998
1782717973146,35.8,41.9,38.7,15.7,52.6,1399,1998
1782717974148,33.4,33.0,47.9,21.3,33.8,1399,1998
1782717975150,28.6,34.0,40.8,7.4,40.0,1399,1998
1782717976153,29.2,17.2,33.8,39.3,25.4,1399,1998
1782717977154,30.0,7.4,50.0,30.5,40.7,1399,1998
1782717978157,28.3,7.5,45.8,33.7,32.3,1399,1998
1782717979159,34.2,10.5,54.7,36.4,44.8,1400,1998
1782717980161,29.6,17.6,32.2,30.4,40.6,1403,1995
1782717981222,1.9,1.9,2.0,1.9,1.9,1403,1995
1782717982225,2.8,3.1,4.1,1.1,2.1,1403,1995
1782717983226,7.9,4.3,6.5,6.2,16.2,1404,1993
1782717984361,30.9,40.2,33.0,20.6,29.9,1405,1992
1782717985365,22.5,25.6,29.2,21.7,14.6,1405,1992
1782717986365,46.4,59.5,50.0,30.3,46.5,1405,1992
1782717987370,61.4,80.5,63.9,15.2,95.9,1421,1976
1782717988371,58.2,79.8,47.7,18.4,89.9,1429,1968
1782717989378,51.6,62.8,24.7,40.8,81.2,1449,1948
1782717990380,11.1,17.2,17.8,4.3,5.8,1449,1948
1782717991384,27.6,32.6,39.3,14.1,24.7,1449,1948
1782717992389,59.2,86.4,81.1,12.0,66.0,1449,1948
1782717993390,53.5,73.9,67.1,17.4,63.8,1449,1948
1782717994393,16.1,21.1,11.8,18.5,13.6,1449,1948
