ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns
1782717922577,0,0,0,0,0,0,0,0,0,0,0,0
1782717922829,252,0,0,0,0,0,0,0,0,0,0,0
1782717923085,508,0,0,0,0,0,0,0,0,0,0,0
1782717923336,759,0,0,0,0,0,0,0,0,0,0,0
1782717923588,1011,0,0,0,0,0,0,0,0,0,0,0
1782717923840,1263,0,0,0,0,0,0,0,0,0,0,0
1782717924096,1519,0,0,0,0,0,0,0,0,0,0,0
1782717924353,1776,0,0,0,0,0,0,0,0,0,0,0
1782717924651,2074,0,0,0,0,0,0,0,0,0,0,0
1782717924902,2325,0,0,0,0,0,0,0,0,0,0,0
1782717925156,2579,0,0,0,0,0,0,0,0,0,0,0
1782717925461,2884,0,0,0,0,0,0,0,0,0,0,0
1782717925711,3134,0,0,0,0,0,0,0,0,0,0,0
1782717926198,3621,0,0,0,0,0,0,0,0,0,0,0
1782717926459,3882,0,0,0,0,0,0,0,0,0,0,0
1782717926711,4134,0,0,0,0,0,0,0,0,0,0,0
1782717926962,4385,0,0,0,0,0,0,0,0,0,0,0
1782717927214,4637,468587,254,0,0,647243,41301826,254,29257,254,10503665,599914
1782717927498,4921,468587,254,0,0,647243,41301826,254,29257,254,10503665,599914
1782717927750,5173,634902,474,0,0,667392,55249394,474,44506,474,16220207,865221
1782717928001,5424,634902,474,0,0,667392,55249394,474,44506,474,16220207,865221
1782717928256,5679,1889072,727,0,0,703782,83611915,727,72634,727,27218007,1920964
1782717928578,6000,1889072,727,0,0,703782,83611915,727,72634,727,27218007,1920964
1782717928829,6252,2018483,940,0,0,721221,93155571,940,85860,940,28857223,2080516
1782717929081,6504,2160945,1192,0,0,739713,101987759,1192,100993,1192,31101017,2278123
1782717929371,6794,2160945,1192,0,0,739713,101987759,1192,100993,1192,31101017,2278123
1782717929630,7053,2352502,1482,0,0,762501,113101514,1482,117707,1482,33716849,2545392
1782717929903,7326,2352502,1482,0,0,762501,113101514,1482,117707,1482,33716849,2545392
1782717930157,7580,2352502,1482,0,0,762501,113101514,1482,117707,1482,33716849,2545392
1782717930410,7833,2797120,1734,0,0,786770,128993833,1734,136400,1734,40079331,2866799
1782717930661,8084,2927567,1932,0,0,803947,139212565,1932,148504,1932,42128018,3081802
1782717930922,8345,2927567,1932,0,0,803947,139212565,1932,148504,1932,42128018,3081802
1782717931174,8597,3302498,2183,0,0,840691,177681249,2183,171656,2183,50275698,4288890
1782717931425,8848,3302498,2183,0,0,840691,177681249,2183,171656,2183,50275698,4288890
1782717931676,9099,3727061,2508,0,0,878945,216487795,2508,199903,2508,62262734,6373417
1782717931929,9352,3727061,2508,0,0,878945,216487795,2508,199903,2508,62262734,6373417
1782717932180,9603,4970186,2758,0,0,901759,230688438,2758,215717,2758,66115896,6745131
1782717932431,9854,4970186,2758,0,0,901759,230688438,2758,215717,2758,66115896,6745131
1782717932682,10105,7948858,3052,0,0,3022863,269471549,3052,243679,3052,75588027,8446948
1782717932933,10356,7948858,3052,0,0,3022863,269471549,3052,243679,3052,75588027,8446948
1782717933184,10607,8651577,3304,0,0,3055444,291929648,3304,266151,3304,80996707,9433264
1782717933435,10858,9218078,3556,0,0,3081522,308897865,3556,287833,3556,86445808,9914062
1782717933760,11183,9254549,3594,0,0,3085795,311307623,3593,291073,3593,86922535,9992374
1782717934014,11437,9720889,3764,0,0,6531181,327777636,3764,304457,3764,90077958,10404500
1782717934266,11690,10427734,4016,0,0,7758040,355868818,4016,328841,4016,96522908,11280191
1782717934518,11941,10427734,4016,0,0,7758040,355868818,4016,328841,4016,96522908,11280191
1782717934770,12193,10710417,4242,0,0,10335122,383592711,4242,351534,4242,101008324,12579140
1782717935021,12444,11009722,4431,0,0,12734174,424327347,4430,377813,4430,107397851,13983015
1782717935272,12695,11070172,4493,0,0,12745003,429535664,4493,383220,4493,108612047,14111413
1782717935524,12947,12058712,4745,0,0,14328920,448082962,4745,403176,4745,112950697,15018554
1782717935775,13198,12153451,4856,0,0,14340763,459193727,4856,411761,4856,117066895,15346221
1782717936035,13458,12357318,5108,0,0,14362018,470546634,5108,460662,5108,119211885,15852713
1782717936286,13709,12357318,5108,0,0,14362018,470546634,5108,460662,5108,119211885,15852713
1782717936537,13960,12570010,5360,0,0,14390343,488075187,5360,479542,5360,123534627,16496163
1782717936788,14211,12722036,5434,0,0,14404281,494546631,5434,486503,5434,124542601,16736299
1782717937040,14463,12934853,5686,0,0,14430280,512355065,5686,505795,5686,128812738,17797154
1782717937291,14714,12934853,5686,0,0,14430280,512355065,5686,505795,5686,128812738,17797154
1782717937560,14983,13556383,5938,0,0,14491042,535542227,5938,527244,5938,134226296,18561058
1782717937861,15284,13667091,6005,0,0,14499445,545163608,6005,533311,6005,136733422,18765588
1782717938135,15558,13842588,6254,0,0,14517806,553803933,6254,547701,6254,138878753,19110224
1782717938392,15815,13842588,6254,0,0,14517806,553803933,6254,547701,6254,138878753,19110224
1782717938644,16067,14308382,6610,0,0,14554041,569655715,6610,572462,6610,142561533,19851814
1782717938900,16324,14308382,6610,0,0,14554041,569655715,6610,572462,6610,142561533,19851814
1782717939153,16576,14652185,6860,0,0,14603509,601779888,6860,597848,6860,151086934,20947981
1782717939406,16829,14652185,6860,0,0,14603509,601779888,6860,597848,6860,151086934,20947981
1782717939658,17081,16799794,7206,0,0,14665573,654660611,7206,634735,7206,168253464,24405841
1782717939909,17332,16799794,7206,0,0,14665573,654660611,7206,634735,7206,168253464,24405841
1782717940161,17584,16974670,7456,0,0,14689362,669863593,7456,651725,7456,171675121,25629973
1782717940412,17835,17566937,7479,0,0,14694592,675741298,7478,654154,7478,174810120,25728132
1782717940663,18086,17950906,7810,0,0,14756874,721630664,7810,1218725,7810,188228499,27137639
1782717940914,18337,17950906,7810,0,0,14756874,721630664,7810,1218725,7810,188228499,27137639
1782717941165,18588,18174685,8060,0,0,14783295,740716579,8060,1237237,8060,192695193,27619709
1782717941415,18838,18174685,8060,0,0,14783295,740716579,8060,1237237,8060,192695193,27619709
1782717941693,19116,19747925,8390,0,0,14846424,792965465,8390,1271646,8390,204109392,29281121
1782717941945,19368,19747925,8390,0,0,14846424,792965465,8390,1271646,8390,204109392,29281121
1782717942201,19624,19938098,8640,0,0,14883367,806510420,8640,1290128,8640,206871646,29692334
1782717942479,19902,19938098,8640,0,0,14883367,806510420,8640,1290128,8640,206871646,29692334
1782717942730,20153,20393415,8962,0,0,14933212,842931243,8962,1316880,8962,216276996,30630176
1782717942981,20404,20393415,8962,0,0,14933212,842931243,8962,1316880,8962,216276996,30630176
1782717943233,20656,20723183,9212,0,0,14970329,861258264,9212,1335174,9212,220797400,31165840
1782717943517,20940,20723183,9212,0,0,14970329,861258264,9212,1335174,9212,220797400,31165840
1782717943767,21190,21029592,9490,0,0,15014254,876967995,9490,1357677,9490,224057408,31923497
1782717944018,21441,21029592,9490,0,0,15014254,876967995,9490,1357677,9490,224057408,31923497
1782717944269,21692,24727304,9740,0,0,15054156,900922871,9740,1376349,9740,226755763,35551706
1782717944525,21948,25059707,9990,0,0,27590631,928484232,9990,1400717,9990,235584796,36269300
1782717944779,22202,25232291,10057,0,0,27604175,932794151,10057,1407531,10057,236540922,36498791
1782717945031,22454,25528806,10308,0,0,27651552,954840887,10308,1432509,10308,242273223,38693445
1782717945297,22720,25528806,10308,0,0,27651552,954840887,10308,1432509,10308,242273223,38693445
1782717945548,22971,25924935,10558,0,0,27704098,999564321,10558,1463503,10558,252838874,41594887
1782717945800,23223,26096559,10654,0,0,27722084,1012632942,10654,1474271,10654,255518091,43404721
1782717946051,23474,26365582,10904,0,0,31802983,1063136293,10904,2256363,10904,269770876,44738358
1782717946301,23725,26365582,10904,0,0,31802983,1063136293,10904,2256363,10904,269770876,44738358
1782717946553,23977,28109380,11155,0,0,36335893,1101406808,11155,2281181,11155,274385632,46386565
1782717946805,24228,28221134,11254,0,0,36352377,1117049982,11254,2290055,11254,279680326,46667770
1782717947057,24480,28221134,11254,0,0,36352377,1117049982,11254,2290055,11254,279680326,46667770
1782717947309,24732,28546946,11504,0,0,36406044,1163675888,11504,2322379,11504,293625223,49830436
1782717947561,24984,28939643,11754,0,0,44121306,1214046062,11754,2347846,11754,307595026,57177338
1782717947812,25235,29011495,11818,0,0,44132903,1221338270,11818,2353863,11818,308860793,58264414
1782717948064,25487,29391107,12068,0,0,44174640,1246925402,12068,2377148,12068,315009443,59526915
1782717948315,25738,29391107,12068,0,0,44174640,1246925402,12068,2377148,12068,315009443,59526915
1782717948566,25990,29626829,12319,0,0,44215727,1274689672,12319,2398842,12319,321129969,60337003
1782717948817,26240,29731716,12420,0,0,44232326,1284037915,12420,2407603,12420,323781248,61118669
1782717949363,26786,29934988,12670,0,0,44260096,1296174469,12670,2424590,12670,326723042,61848273
1782717949676,27099,30948160,12976,0,0,47346563,1342015122,12976,2457267,12976,340787610,64540712
1782717949970,27394,30948160,12976,0,0,47346563,1342015122,12976,2457267,12976,340787610,64540712
1782717950221,27644,31235424,13226,0,0,47385472,1371306437,13226,2478593,13226,349827067,66956647
1782717950473,27896,31235424,13226,0,0,47385472,1371306437,13226,2478593,13226,349827067,66956647
1782717950827,28250,31672124,13532,0,0,49006663,1417334009,13532,2506333,13532,356651226,69669448
1782717951078,28501,33140388,13782,0,0,49047246,1453367417,13782,2529094,13782,365791146,70930104
1782717951373,28796,33140388,13782,0,0,49047246,1453367417,13782,2529094,13782,365791146,70930104
1782717951629,29052,35848436,14047,0,0,49101163,1493342269,14047,2559415,14047,371001479,75663051
1782717951881,29304,35848436,14047,0,0,49101163,1493342269,14047,2559415,14047,371001479,75663051
1782717952136,29559,35848436,14047,0,0,49101163,1493342269,14047,2559415,14047,371001479,75663051
1782717952387,29810,35848436,14047,0,0,49101163,1493342269,14047,2559415,14047,371001479,75663051
1782717952639,30062,35953026,14177,0,0,49120304,1502741914,14176,2568966,14176,373365985,76007090
1782717952891,30314,35953026,14177,0,0,49120304,1502741914,14176,2568966,14176,373365985,76007090
1782717953147,30570,35953026,14177,0,0,49120304,1502741914,14176,2568966,14176,373365985,76007090
1782717953464,30887,35953026,14177,0,0,49120304,1502741914,14176,2568966,14176,373365985,76007090
1782717953717,31140,35962817,14179,0,0,49120737,1502878222,14177,2569567,14177,373374206,76031875
1782717954036,31459,35962817,14179,0,0,49120737,1502878222,14177,2569567,14177,373374206,76031875
1782717954288,31711,35962817,14179,0,0,49120737,1502878222,14177,2569567,14177,373374206,76031875
1782717954539,31962,35962817,14179,0,0,49120737,1502878222,14177,2569567,14177,373374206,76031875
1782717954791,32214,35962817,14179,0,0,49120737,1502878222,14177,2569567,14177,373374206,76031875
1782717955042,32466,35962817,14179,0,0,49120737,1502878222,14177,2569567,14177,373374206,76031875
1782717955294,32717,48941072,14635,0,0,50396824,1586055353,14632,2612438,14632,398096225,83178452
1782717955545,32968,50904341,15438,0,0,50600130,1685563780,15436,2685138,15436,421454113,92480517
1782717955797,33220,53592181,16141,0,0,52607822,1780727936,16139,2761517,16139,443619789,98793255
1782717956048,33471,56385341,16894,0,0,57636392,1878999651,16892,2830983,16892,466748031,115086872
1782717956311,33734,58865710,17648,0,0,70793671,1962060282,17646,2889626,17646,494116816,125567532
1782717956561,33984,59826608,18156,0,0,70870729,2006909420,18153,2930357,18153,502957659,131099958
1782717956812,34236,61643910,18932,0,0,83229922,2111497996,18930,3001804,18930,531143279,141265277
1782717957063,34486,63348824,19686,0,0,89163158,2198046013,19684,3070875,19684,552220159,151087237
1782717957314,34737,65016628,20438,0,0,89286705,2306565750,20436,3137657,20436,588949857,162097354
1782717957566,34989,67021465,21189,0,0,93849405,2399064140,21187,3205213,21187,615523163,170238825
1782717957818,35241,69134036,21902,0,0,93986843,2496527480,21900,3282330,21900,637135143,179838852
1782717958073,35497,70578218,22653,0,0,94112763,2584953427,22651,3347985,22651,654900922,192653137
1782717958326,35749,71376288,23404,0,0,107403893,2639287643,23402,3402321,23402,669615676,196983583
1782717958583,36005,74236639,24161,0,0,123945751,2749854247,24159,3473328,24159,692766854,210544386
1782717958834,36257,75311943,24825,0,0,124065576,2831868317,24823,3535927,24823,710827529,220501523
1782717959085,36508,77457273,25576,0,0,133554557,2912218335,25574,3604574,25574,728427025,233106732
1782717959336,36759,79784467,26327,0,0,133676294,3011243142,26325,3672236,26325,747834887,245643706
1782717959587,37009,80849646,27193,0,0,133816427,3108172928,27190,3751038,27190,766932954,257421577
1782717959839,37262,81733548,27850,0,0,155088376,3233610085,27847,3811397,27847,789737793,268053074
1782717960090,37513,83792083,28559,0,0,173181992,3360220652,28556,3881067,28556,823213395,289628350
1782717960341,37764,85861698,29288,0,0,191324946,3461759293,29285,4017022,29285,842077124,305071947
1782717960593,38015,86847285,30174,0,0,205881560,3555116982,30172,4094344,30172,856105485,316304840
1782717960856,38279,87041231,30426,0,0,205913839,3570411687,30424,4113518,30424,858696207,318888053
1782717961131,38554,87478743,30927,0,0,205991531,3621545226,30925,4158491,30925,870287292,334229527
1782717961400,38823,96439354,31677,0,0,241295184,3685497920,31675,4218333,31675,885782951,339023108
1782717961652,39075,96919181,32263,0,0,258807411,3761676338,32261,4269358,32261,897325388,345572106
1782717961904,39327,97463594,33016,0,0,279632973,3825036699,33014,4326251,33014,913674120,354242028
1782717962156,39579,97900556,33519,0,0,279716467,3860169263,33517,4371230,33517,920679065,358487937
1782717962407,39830,98581256,34272,0,0,290016598,3958765694,34270,5196851,34270,942176781,371043814
1782717962659,40082,99140372,34967,0,0,290255271,4040495421,34964,5255808,34964,959764621,389708759
1782717962910,40333,99555715,35405,0,0,290314947,4071089036,35403,5289386,35403,967267936,392119995
1782717963162,40585,100877849,36157,0,0,303333426,4171045114,36155,5370210,36155,993741199,409442765
1782717963413,40836,101912379,36872,0,0,303792682,4252598420,36869,5923153,36869,1012564916,421400724
1782717963672,41095,102430084,37514,0,0,322465985,4331403953,37511,5981321,37511,1035840918,431490381
1782717963931,41354,102587514,37756,0,0,322497838,4347452817,37754,5999946,37754,1038954570,433271834
