ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns,sip_pkt_ns,sip_pkt_cnt,rtp_pkt_ns,rtp_pkt_cnt
1782835044639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835044890,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835045143,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835045394,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835045660,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835045911,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835046165,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835046418,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835046679,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835046929,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835047183,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835047480,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835047782,3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835048042,3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835048343,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835048725,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835049025,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835049276,4637,77344,252,0,0,6266,3698881,252,4841,252,3504534,57049,3689529,252,0,0
1782835049527,4888,77344,252,0,0,6266,3698881,252,4841,252,3504534,57049,3689529,252,0,0
1782835049777,5138,115525,494,0,0,12021,6290755,494,9270,494,5810595,120246,6272873,494,0,0
1782835050027,5388,115525,494,0,0,12021,6290755,494,9270,494,5810595,120246,6272873,494,0,0
1782835050310,5671,161740,745,0,0,18834,10247852,745,14231,745,9469058,281486,10220018,745,0,0
1782835050562,5922,247232,995,0,0,25312,13114711,995,19222,995,12109016,336389,13077295,995,0,0
1782835050814,6175,266168,1094,0,0,27627,14120781,1094,21082,1094,13037657,362960,14080090,1094,0,0
1782835051068,6428,288934,1171,0,0,30814,15938591,1170,23254,1170,14777664,389058,15893766,1170,0,0
1782835051332,6693,340773,1343,0,0,35008,18083594,1343,26623,1343,16706579,513429,18032606,1343,0,0
1782835051583,6945,397212,1595,0,0,40867,20647186,1595,31271,1595,19063143,587179,20587063,1595,0,0
1782835051844,7205,418142,1660,0,0,43442,22196457,1660,33186,1660,20442558,706052,22132960,1660,0,0
