ts_unix_ms,sngrep_pct,sipp_pct
1782835049765,0.2,2.5
1782835050768,0.2,2.0
1782835051789,0.2,1.5
1782835052844,0.2,1.2
1782835053856,0.5,2.0
1782835054859,0.2,2.5
1782835055958,0.2,2.0
1782835056961,0.2,2.0
1782835058032,0.2,1.9
1782835059159,0.4,0.9
1782835060318,0.4,1.1
1782835061321,0.5,2.2
1782835062329,0.0,2.0
1782835063332,0.5,2.0
1782835064350,0.2,1.2
1782835065359,0.2,2.5
1782835066363,0.2,2.5
1782835067366,0.2,2.7
1782835068370,0.2,2.5
1782835069373,0.5,2.7
1782835070378,0.2,2.0
1782835071382,0.0,2.5
1782835072386,0.5,2.0
1782835073402,0.5,1.7
1782835074461,0.2,-22.2
1782835075467,0.0,0.2
1782835076504,0.0,0.5
1782835077508,0.7,3.2
1782835078511,1.2,5.0
1782835079524,1.0,3.9
1782835080529,1.5,4.2
1782835081532,1.2,3.5
1782835082535,1.2,3.2
1782835083540,1.5,4.0
1782835084544,1.2,5.0
1782835085548,1.5,4.5
1782835086562,1.2,3.5
1782835087566,1.5,3.5
1782835088626,1.2,3.8
1782835089630,1.7,4.2
1782835090634,1.5,5.0
1782835091637,1.2,4.5
1782835092640,1.2,4.5
1782835093644,1.5,4.7
1782835094659,1.5,4.7
1782835095724,1.2,3.3
1782835096728,1.7,3.5
1782835097730,1.2,4.7
1782835098733,1.2,4.7
1782835099781,1.4,4.5
1782835100787,1.5,3.5
1782835101791,1.2,4.0
1782835102813,0.2,-48.0
1782835103820,0.2,0.5
1782835104845,0.0,0.5
1782835105857,2.2,4.9
1782835106860,2.5,6.0
1782835107863,2.5,5.7
1782835108866,2.5,6.5
1782835109868,2.2,6.7
1782835110871,2.5,6.0
1782835111874,2.7,6.5
1782835112876,2.2,5.7
1782835113878,2.5,5.2
1782835114880,2.5,6.2
1782835115883,2.2,6.2
1782835116887,2.5,6.5
1782835117890,2.2,5.0
1782835118894,2.5,6.0
1782835119897,2.2,5.5
1782835120953,2.4,5.0
1782835121956,2.7,6.2
1782835122962,2.2,5.7
1782835123965,2.7,6.2
1782835124968,2.5,6.0
1782835125971,2.5,6.5
1782835126974,2.7,6.5
1782835127981,2.0,5.2
1782835128989,2.5,5.0
1782835129993,1.7,4.0
1782835130997,0.2,-68.0
1782835132001,0.2,1.0
1782835133253,0.0,0.6
1782835134259,3.5,6.2
1782835135262,4.7,7.7
1782835136265,4.7,8.5
1782835137268,4.0,6.7
1782835138272,4.7,8.5
1782835139275,4.7,8.5
1782835140279,5.2,8.5
1782835141282,4.7,8.7
1782835142289,4.7,8.4
1782835143293,4.5,8.5
1782835144296,3.7,6.5
1782835145299,5.0,9.0
1782835146302,4.7,9.0
1782835147308,5.2,8.9
1782835148312,3.7,6.5
1782835149315,4.0,6.0
1782835150330,4.2,7.6
1782835151334,4.5,8.2
1782835152337,5.0,8.5
1782835153341,5.2,8.5
1782835154347,4.0,7.7
1782835155355,3.7,6.4
1782835156374,3.7,6.6
1782835157378,4.7,9.0
1782835158411,4.1,-78.9
1782835159416,0.2,1.0
1782835160435,0.2,1.2
1782835161439,0.0,1.2
1782835162444,6.2,10.2
1782835163448,7.2,8.7
1782835164454,9.2,12.2
1782835165457,8.5,12.5
1782835166461,6.0,9.2
1782835167463,8.5,12.5
1782835168468,9.5,12.9
1782835169479,9.1,11.4
1782835170485,5.0,8.4
1782835171492,7.0,10.9
1782835172494,4.7,7.0
1782835173505,7.2,10.4
1782835174508,8.2,11.7
1782835175510,10.0,13.2
1782835176513,9.7,13.2
1782835177515,10.0,13.7
1782835178519,10.0,13.7
1782835179523,9.7,14.2
1782835180526,10.0,13.5
1782835181529,9.7,13.7
1782835182532,10.2,14.5
1782835183535,9.7,15.0
1782835184538,10.2,14.0
1782835185541,10.0,13.9
1782835186545,9.0,-125.0
1782835187567,0.2,2.4
1782835188665,0.2,2.3
1782835189672,2.7,6.2
1782835190675,20.2,23.9
1782835191682,13.9,14.2
1782835192688,20.4,22.8
1782835193694,20.9,25.1
1782835194697,19.9,25.4
1782835195701,19.2,23.6
1782835196811,17.4,21.6
1782835197815,16.7,19.2
1782835198834,18.4,21.8
1782835199839,12.2,15.9
1782835200844,17.4,20.7
1782835201849,24.4,29.1
1782835202853,22.4,27.1
1782835203856,21.4,25.9
1782835204860,14.9,18.7
1782835205866,19.1,22.9
1782835206870,21.7,26.7
1782835207872,20.9,25.7
1782835208877,20.7,23.9
1782835209899,11.2,15.2
1782835210902,19.7,25.9
1782835211908,21.6,27.6
1782835212911,21.2,25.7
1782835213914,20.7,23.7
1782835214983,13.6,-243.1
1782835216202,0.2,4.7
1782835217592,0.2,3.6
