ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782835049751,3.9,1.0,4.3,2.1,4.4,1209,2189
1782835050751,2.1,2.0,3.1,3.1,3.2,1212,2185
1782835051753,2.1,3.2,3.2,1.0,0.0,1214,2183
1782835052764,0.8,0.0,2.0,1.0,2.0,1217,2180
1782835053765,1.3,1.0,2.1,0.0,2.2,1218,2179
1782835054765,2.3,0.0,1.0,4.3,2.2,1219,2179
1782835055955,2.2,1.7,1.7,4.4,2.7,1219,2179
1782835056955,2.1,0.0,1.0,3.2,2.2,1219,2179
1782835058026,0.7,1.9,0.9,1.0,0.0,1219,2179
1782835059063,1.0,1.0,1.0,0.0,1.9,1219,2179
1782835060321,1.0,0.8,0.8,0.8,0.0,1219,2179
1782835061323,1.3,2.1,2.0,2.1,1.0,1219,2178
1782835062327,1.5,3.2,2.0,4.1,0.0,1219,2178
1782835063329,2.3,3.2,0.0,3.2,0.0,1219,2178
1782835064353,1.3,2.0,2.0,0.0,0.0,1220,2177
1782835065354,2.6,1.0,0.0,6.3,3.3,1222,2175
1782835066355,2.4,0.0,5.1,3.1,3.4,1222,2175
1782835067355,2.9,1.0,0.0,6.4,3.4,1224,2173
1782835068356,2.4,0.0,5.2,1.0,3.4,1224,2173
1782835069357,2.1,1.0,5.3,0.0,4.4,1224,2173
1782835070377,1.8,0.0,3.0,3.1,2.1,1224,2173
1782835071381,2.1,2.0,2.1,2.2,1.0,1224,2173
1782835072387,1.0,0.0,2.1,2.2,0.0,1224,2173
1782835073399,1.8,0.0,1.0,3.1,2.0,1224,2173
1782835074459,1.2,0.0,1.9,0.0,1.0,1224,2173
1782835075459,0.8,2.0,0.0,1.0,0.0,1224,2173
1782835076500,0.2,0.0,0.0,0.0,1.0,1224,2173
1782835077502,3.9,0.0,2.0,9.5,4.6,1225,2172
1782835078503,5.3,0.0,10.6,4.0,5.8,1235,2162
1782835079504,5.0,4.0,8.6,5.3,3.2,1250,2147
1782835080509,5.5,6.1,2.0,8.6,6.5,1266,2131
1782835081518,3.4,5.1,4.3,2.0,2.1,1276,2121
1782835082520,3.7,4.1,5.2,3.2,3.2,1276,2121
1782835083521,4.7,4.1,8.4,2.0,2.2,1276,2121
1782835084521,5.0,3.1,4.1,7.4,5.8,1276,2121
1782835085523,5.0,11.5,1.0,3.1,4.5,1276,2121
1782835086525,4.4,6.3,2.0,4.1,7.4,1288,2109
1782835087540,2.8,4.2,2.0,2.2,2.1,1288,2109
1782835088541,2.9,5.4,0.0,4.3,1.1,1288,2109
1782835089543,5.0,10.4,4.1,4.1,3.3,1288,2109
1782835090544,6.0,1.0,5.1,9.5,7.9,1288,2109
1782835091545,4.8,3.0,7.1,6.2,4.7,1288,2109
1782835092546,4.7,0.0,6.2,7.2,3.4,1289,2108
1782835093547,5.3,1.0,12.5,4.1,5.8,1289,2108
1782835094656,4.8,0.0,7.8,3.7,5.1,1289,2108
1782835095724,3.4,5.0,5.9,2.9,1.9,1289,2108
1782835096724,4.2,3.1,3.3,5.2,2.1,1289,2108
1782835097725,5.5,0.0,4.0,12.8,5.8,1289,2108
1782835098725,4.8,1.0,5.1,10.6,4.6,1289,2108
1782835099726,4.7,1.0,6.1,7.7,4.4,1289,2108
1782835100729,3.1,3.2,4.1,4.3,0.0,1289,2108
