ts_unix_ms,sngrep_pct,sipp_pct
1782834334581,0.2,2.5
1782834335584,0.2,2.2
1782834336587,0.2,2.7
1782834337667,0.2,1.9
1782834338669,0.5,2.5
1782834339673,0.2,2.5
1782834340677,0.2,2.7
1782834341681,0.0,2.5
1782834342684,0.2,2.5
1782834343687,0.2,2.7
1782834344775,0.5,2.1
1782834345778,0.0,2.2
1782834346813,0.5,2.4
1782834347818,0.2,2.5
1782834348822,0.2,2.5
1782834349967,0.2,1.7
1782834350970,0.7,1.0
1782834351974,0.0,2.5
1782834352977,0.5,2.0
1782834353981,0.2,2.2
1782834354986,0.5,2.5
1782834355991,0.2,1.5
1782834356994,0.2,2.2
1782834357997,0.2,2.0
1782834359114,0.4,-23.5
1782834360128,0.2,0.2
1782834361139,0.0,0.5
1782834362144,0.5,1.7
1782834363159,1.5,3.7
1782834364163,1.0,4.2
1782834365166,1.2,4.2
1782834366170,0.7,5.0
1782834367173,1.5,5.0
1782834368176,1.2,4.5
1782834369222,1.0,4.5
1782834370225,1.5,5.0
1782834371227,1.2,3.5
1782834372230,1.2,4.5
1782834373232,1.2,5.2
1782834374239,1.5,4.0
1782834375241,1.2,3.7
1782834376244,1.2,4.2
1782834377247,1.2,4.7
1782834378251,1.2,5.2
1782834379255,1.5,4.2
1782834380267,1.5,4.0
1782834381279,1.5,4.0
1782834382287,1.2,4.0
1782834383294,1.5,3.5
1782834384307,1.2,3.5
1782834385351,1.4,4.3
1782834386358,1.5,2.7
1782834387366,0.5,-47.8
1782834388837,0.2,0.3
1782834389887,0.0,1.0
1782834390890,2.2,5.5
1782834391893,2.2,5.2
1782834392898,2.2,6.0
1782834393901,2.2,6.7
1782834394905,2.2,5.2
1782834395909,2.5,6.2
1782834396912,2.7,5.7
1782834397915,2.2,5.7
1782834398918,2.2,6.2
1782834399924,2.2,4.5
1782834400928,2.2,5.2
1782834401935,2.7,4.7
1782834402938,2.2,5.0
1782834403940,2.2,6.2
1782834404942,2.5,6.5
1782834405944,2.2,5.5
1782834406954,3.0,6.4
1782834407956,2.5,4.7
1782834408960,2.5,6.5
1782834409968,2.2,5.0
1782834410971,2.5,5.7
1782834411973,2.5,6.7
1782834412979,2.5,6.0
1782834413985,1.7,4.2
1782834414994,2.0,-60.7
1782834415998,0.2,0.7
1782834417001,0.0,1.0
1782834418008,0.5,1.2
1782834419011,4.5,8.2
1782834420014,4.5,7.7
1782834421018,4.2,9.0
1782834422022,4.7,8.7
1782834423024,4.5,8.2
1782834424027,4.2,6.7
1782834425033,4.7,8.5
1782834426036,3.0,5.2
1782834427038,4.0,7.5
1782834428042,4.0,7.0
1782834429045,3.2,5.2
1782834430047,3.2,5.5
1782834431055,2.7,5.7
1782834432058,4.5,8.2
1782834433061,4.2,8.0
1782834434064,4.7,8.2
1782834435068,5.0,9.5
1782834436071,3.5,7.2
1782834437077,4.5,8.5
1782834438079,4.5,7.7
1782834439082,3.5,6.5
1782834440084,4.7,9.2
1782834441087,4.5,9.0
1782834442091,4.7,9.0
1782834443095,3.2,-79.7
1782834444169,0.2,1.6
1782834445487,0.0,1.3
1782834446490,3.7,7.5
1782834447493,9.7,12.7
1782834448496,6.5,9.2
1782834449499,9.5,14.2
1782834450503,9.0,13.7
1782834451507,9.2,13.7
1782834452510,9.2,11.2
1782834453517,10.4,12.9
1782834454523,9.9,14.2
1782834455527,10.2,14.4
1782834456530,9.5,13.2
1782834457534,9.2,12.2
1782834458538,9.5,13.4
1782834459541,10.0,14.0
1782834460545,9.7,13.5
1782834461561,6.6,10.1
1782834462569,6.7,10.2
1782834463580,6.9,11.1
1782834464583,7.2,11.2
1782834465586,8.0,10.0
1782834466589,9.2,13.2
1782834467592,10.2,14.5
1782834468595,10.2,14.0
1782834469598,9.7,14.2
1782834470601,9.5,13.7
1782834471605,4.7,-137.0
1782834472627,0.0,2.2
1782834473641,0.2,2.2
1782834474644,8.5,12.5
1782834475647,19.2,22.7
1782834476654,12.9,15.1
1782834477657,19.7,23.9
1782834478661,18.7,23.9
1782834479666,19.4,25.6
1782834480669,19.2,23.9
1782834481674,14.4,16.9
1782834482682,11.9,15.6
1782834483688,15.7,20.6
1782834484690,20.9,26.7
1782834485694,20.2,24.2
1782834486698,20.7,23.9
1782834487703,19.9,26.3
1782834488709,20.4,25.6
1782834489713,20.9,24.4
1782834490718,20.9,25.1
1782834491722,20.7,25.9
1782834492726,20.7,26.4
1782834493730,15.7,18.7
1782834494734,21.2,25.9
1782834495741,21.1,26.6
1782834496746,21.4,27.6
1782834497750,21.4,26.4
1782834498754,20.7,25.2
1782834499783,10.0,-262.8
1782834500805,0.2,4.2
1782834501814,0.5,4.2
1782834502817,0.0,3.5
