ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782709024724,5.6,6.2,5.4,9.1,3.2,1129,2268
1782709025726,5.8,5.2,2.1,8.3,7.1,1132,2265
1782709026728,4.8,4.2,6.7,3.0,5.6,1134,2263
1782709027733,3.9,1.0,4.3,6.5,2.0,1136,2261
1782709028734,4.9,6.6,4.5,5.1,5.4,1136,2261
1782709029736,5.7,4.3,2.0,9.5,9.2,1137,2260
1782709030739,4.6,8.9,0.0,4.1,6.8,1138,2260
1782709031740,4.3,4.4,6.7,2.2,1.1,1138,2259
1782709032741,2.4,1.1,2.2,5.2,1.1,1139,2258
1782709033755,4.3,9.0,2.0,7.7,1.0,1140,2257
1782709034756,6.8,5.2,10.1,5.6,5.6,1141,2256
1782709035758,12.8,14.3,6.8,13.5,15.9,1142,2255
1782709036760,5.6,12.3,0.0,4.0,7.9,1143,2254
1782709037761,5.4,7.1,3.2,5.0,6.8,1146,2252
1782709038762,5.5,0.0,6.0,6.5,10.5,1146,2252
1782709039764,5.4,4.4,6.6,4.1,8.1,1149,2248
1782709040774,5.9,11.4,1.0,4.0,10.1,1150,2247
1782709041776,4.0,5.7,2.1,1.0,6.7,1150,2247
1782709042777,5.6,11.2,4.0,0.0,9.1,1149,2248
1782709043778,10.3,20.8,0.0,10.9,10.3,1149,2248
1782709044797,7.3,4.3,11.8,8.3,6.5,1151,2246
1782709045847,12.6,15.3,12.2,14.7,8.0,1151,2246
1782709046856,15.3,8.1,21.3,16.0,14.7,1152,2246
1782709047858,16.6,16.7,14.3,13.1,25.9,1152,2245
1782709048860,9.2,12.2,5.4,7.9,11.7,1153,2244
1782709049876,0.3,0.0,1.0,0.0,1.0,1153,2244
1782709050880,6.3,4.4,4.7,10.9,5.3,1153,2244
1782709051886,5.4,5.4,8.3,3.1,4.9,1153,2244
1782709052887,42.1,58.1,50.8,11.0,55.2,1157,2240
1782709053889,46.6,64.8,42.5,14.6,67.1,1164,2233
1782709054892,32.7,40.4,36.5,34.9,19.8,1175,2222
1782709055894,48.6,56.3,41.3,18.5,79.3,1191,2206
1782709056898,41.2,54.7,40.0,22.1,47.5,1202,2195
1782709057900,24.9,36.6,21.7,16.1,25.3,1203,2195
1782709058902,42.9,48.9,52.8,28.9,44.8,1206,2191
1782709059902,37.6,32.5,18.5,47.0,63.0,1206,2191
1782709060905,26.8,32.1,31.7,28.9,15.7,1207,2190
1782709061908,21.1,30.6,24.4,14.0,14.0,1207,2190
1782709062910,31.2,9.5,42.0,35.9,47.4,1207,2190
1782709063912,18.4,14.3,26.7,16.1,17.2,1207,2190
1782709064915,24.8,19.8,28.7,22.2,28.1,1207,2190
1782709065916,33.0,26.6,46.3,22.7,41.1,1207,2190
1782709066921,31.7,32.3,52.9,8.5,41.1,1207,2190
1782709067922,35.6,34.0,59.2,18.8,37.7,1208,2189
1782709068923,31.9,33.3,57.5,6.4,37.0,1211,2186
1782709069926,33.8,37.2,57.6,7.3,48.1,1211,2186
1782709071125,26.0,33.3,36.1,7.3,28.8,1211,2186
1782709072128,21.5,9.1,23.2,32.5,20.5,1211,2186
1782709073130,32.5,15.1,41.3,31.9,50.0,1211,2186
1782709074133,31.7,6.5,52.2,31.5,48.2,1211,2186
1782709075136,29.8,19.8,26.7,36.9,37.9,1211,2186
1782709076138,22.7,20.4,15.2,29.3,25.7,1211,2186
1782709077147,18.5,19.1,13.2,28.6,17.7,1212,2185
1782709078253,0.9,0.0,1.0,0.0,0.0,1213,2185
1782709079256,1.0,0.0,1.0,2.2,1.0,1213,2185
1782709080258,5.8,3.0,5.5,4.3,10.5,1214,2183
1782709081262,43.4,36.0,64.2,29.5,44.1,1215,2182
1782709082275,20.1,25.3,25.0,12.1,17.1,1215,2182
1782709083282,9.4,7.6,8.7,10.9,9.5,1215,2182
1782709084288,27.8,7.5,45.3,35.1,27.1,1215,2182
