ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782709019756,0,lo,0,0,0,0,0,0,0.000
1782709020007,250,lo,0,0,0,0,0,0,0.000
1782709020259,502,lo,0,0,0,0,0,0,0.000
1782709020513,756,lo,0,0,0,0,0,0,0.000
1782709020763,1006,lo,0,0,0,0,0,0,0.000
1782709021028,1271,lo,0,0,0,0,0,0,0.000
1782709021312,1555,lo,0,0,0,0,0,0,0.000
1782709021562,1805,lo,0,0,0,0,0,0,0.000
1782709021813,2056,lo,0,0,0,0,0,0,0.000
1782709022064,2307,lo,0,0,0,0,0,0,0.000
1782709022319,2562,lo,0,0,0,0,0,0,0.000
1782709022571,2814,lo,0,0,0,0,0,0,0.000
1782709022823,3066,lo,0,0,0,0,0,0,0.000
1782709023074,3317,lo,0,0,0,0,0,0,0.000
1782709023362,3605,lo,0,0,0,0,0,0,0.000
1782709023644,3888,lo,0,0,0,0,0,0,0.000
1782709023905,4148,lo,108,0,0,108,0,0,0.000
1782709024156,4399,lo,336,0,0,228,0,0,0.000
1782709024408,4651,lo,640,0,0,304,0,0,0.000
1782709024659,4903,lo,924,0,0,284,0,0,0.000
1782709024910,5153,lo,1220,0,0,296,0,0,0.000
1782709025161,5404,lo,1520,0,0,300,0,0,0.000
1782709025412,5655,lo,1796,0,0,276,0,0,0.000
1782709025663,5907,lo,2096,0,0,300,0,0,0.000
1782709025915,6158,lo,2402,0,0,306,0,0,0.000
1782709026166,6409,lo,2702,0,0,300,0,0,0.000
1782709026416,6659,lo,3004,0,0,302,0,0,0.000
1782709026667,6911,lo,3308,0,0,304,0,0,0.000
1782709027224,7467,lo,3476,0,0,168,0,0,0.000
1782709027595,7838,lo,3738,0,0,262,0,0,0.000
1782709027849,8092,lo,4136,0,0,398,0,0,0.000
1782709028151,8394,lo,4464,0,0,328,0,0,0.000
1782709028402,8645,lo,4764,0,0,300,0,0,0.000
1782709028654,8898,lo,5062,0,0,298,0,0,0.000
1782709028905,9148,lo,5366,0,0,304,0,0,0.000
1782709029155,9398,lo,5668,0,0,302,0,0,0.000
1782709029406,9649,lo,5964,0,0,296,0,0,0.000
1782709029657,9901,lo,6268,0,0,304,0,0,0.000
1782709030211,10454,lo,6388,0,0,120,0,0,0.000
1782709030464,10707,lo,6788,0,0,400,0,0,0.000
1782709030716,10960,lo,7096,0,0,308,0,0,0.000
1782709030979,11222,lo,7388,0,0,292,0,0,0.000
1782709031230,11473,lo,7534,0,0,146,0,0,0.000
1782709031481,11724,lo,7878,0,0,344,0,0,0.000
1782709031732,11976,lo,8084,0,0,206,0,0,0.000
1782709032185,12428,lo,8624,0,0,540,0,0,0.000
1782709032479,12722,lo,8976,0,0,352,0,0,0.000
1782709032736,12980,lo,9278,0,0,302,0,0,0.000
1782709033003,13246,lo,9600,0,0,322,0,0,0.000
1782709033266,13509,lo,9876,0,0,276,0,0,0.000
1782709033521,13764,lo,10156,0,0,280,0,0,0.000
1782709033837,14080,lo,10556,0,0,400,0,0,0.000
1782709034138,14381,lo,10820,0,0,264,0,0,0.000
1782709034404,14647,lo,11124,0,0,304,0,0,0.000
1782709034656,14900,lo,11468,0,0,344,0,0,0.000
1782709034907,15150,lo,11768,0,0,300,0,0,0.000
1782709035157,15400,lo,12020,0,0,252,0,0,0.000
1782709035408,15651,lo,12316,0,0,296,0,0,0.000
1782709035659,15903,lo,12620,0,0,304,0,0,0.000
1782709035911,16154,lo,12920,0,0,300,0,0,0.000
1782709036162,16405,lo,13220,0,0,300,0,0,0.000
1782709036414,16657,lo,13522,0,0,302,0,0,0.000
1782709036665,16909,lo,13824,0,0,302,0,0,0.000
1782709036916,17159,lo,14128,0,0,304,0,0,0.000
1782709037167,17410,lo,14428,0,0,300,0,0,0.000
1782709037417,17660,lo,14730,0,0,302,0,0,0.000
1782709037669,17913,lo,15032,0,0,302,0,0,0.000
1782709037920,18163,lo,15332,0,0,300,0,0,0.000
1782709038171,18414,lo,15632,0,0,300,0,0,0.000
