ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt
1782709040682,20926,13978754,9265,0,0,2556149,519221528,9265,759776,9265
1782709041337,21580,14055457,9378,0,0,3033266,526983333,9378,766685,9378
1782709041589,21832,14265087,9611,0,0,3052264,540527834,9610,780860,9610
1782709041840,22083,14386829,9736,0,0,3065270,549675107,9736,789454,9736
1782709042092,22336,14386829,9736,0,0,3065270,549675107,9736,789454,9736
1782709042344,22587,14827599,9986,0,0,3085912,561357382,9986,805943,9986
1782709042594,22837,14929796,10108,0,0,3096877,568479442,10107,814298,10107
1782709042845,23088,15067274,10338,0,0,3115327,581656514,10338,828698,10338
1782709043097,23340,15067274,10338,0,0,3115327,581656514,10338,828698,10338
1782709043351,23594,15444204,10588,0,0,3161346,604571142,10588,860312,10588
1782709043614,23858,15444204,10588,0,0,3161346,604571142,10588,860312,10588
1782709043895,24138,17664310,10900,0,0,3568437,645543523,10900,892803,10900
1782709044148,24391,17664310,10900,0,0,3568437,645543523,10900,892803,10900
1782709044428,24671,18285641,11150,0,0,3599775,671839909,11150,914465,11150
1782709044680,24924,18558017,11401,0,0,3626042,683855556,11401,932709,11401
1782709044936,25179,18598026,11482,0,0,3630736,685927803,11482,936317,11482
1782709045192,25435,18598026,11482,0,0,3630736,685927803,11482,936317,11482
1782709045444,25687,18823980,11732,0,0,4787784,699985257,11732,956329,11732
1782709045696,25940,19112563,11983,0,0,4833028,754684192,11983,987110,11983
1782709046086,26329,19206324,12064,0,0,4847647,773954009,12064,996644,12064
1782709046338,26581,19400640,12137,0,0,12313367,819756142,12136,1014375,12136
1782709046590,26833,20400662,12314,0,0,12904927,868466643,12314,1045458,12314
1782709046868,27111,20993515,12598,0,0,21183407,930481415,12598,1092993,12598
1782709047125,27368,20993515,12598,0,0,21183407,930481415,12598,1092993,12598
1782709047376,27619,22311688,12848,0,0,26708354,999035835,12848,1133336,12848
1782709047630,27874,22600445,12997,0,0,26735490,1030905706,12996,1151529,12996
1782709047881,28124,22857543,13198,0,0,26776378,1086687431,13198,1178138,13198
1782709048242,28485,22857543,13198,0,0,26776378,1086687431,13198,1178138,13198
1782709048538,28781,23369419,13448,0,0,26820781,1142061746,13448,1208901,13448
1782709048790,29033,24206096,13627,0,0,26854912,1175671663,13626,1231645,13626
1782709049363,29606,24325469,13665,0,0,26861543,1183031013,13665,1235896,13665
1782709049874,30117,24334678,13667,0,0,26862091,1183133696,13666,1236277,13666
1782709050124,30367,24334678,13667,0,0,26862091,1183133696,13666,1236277,13666
1782709050393,30637,24334678,13667,0,0,26862091,1183133696,13666,1236277,13666
1782709050660,30904,24334678,13667,0,0,26862091,1183133696,13666,1236277,13666
1782709050941,31184,24341975,13669,0,0,26862490,1183215668,13667,1236497,13667
1782709051282,31525,24341975,13669,0,0,26862490,1183215668,13667,1236497,13667
1782709051535,31778,24341975,13669,0,0,26862490,1183215668,13667,1236497,13667
1782709051786,32029,24341975,13669,0,0,26862490,1183215668,13667,1236497,13667
1782709052045,32288,24341975,13669,0,0,26862490,1183215668,13667,1236497,13667
1782709052298,32541,26329487,14124,0,0,34371461,1286926982,14121,1313812,14121
1782709052551,32794,34951778,14602,0,0,43671083,1404662492,14599,1396391,14599
1782709052802,33045,40397601,15329,0,0,52879397,1584882431,15326,1512976,15326
1782709053053,33296,45661267,16046,0,0,58174030,1802150513,16043,1756522,16043
1782709053305,33548,53116156,16832,0,0,68456467,2012947260,16829,1897057,16829
1782709053557,33800,57717427,17427,0,0,84458405,2152430563,17425,2001938,17425
1782709053845,34088,58887234,17928,0,0,93023691,2226412913,17926,2462164,17926
1782709054096,34339,62052991,18327,0,0,117600593,2306602833,18325,2519187,18325
1782709054347,34590,65588549,18829,0,0,130961766,2383652137,18827,2585125,18827
1782709054598,34841,67312018,19418,0,0,131070747,2472490498,19415,2660272,19415
1782709054849,35092,72818237,19941,0,0,137037758,2637331369,19938,2730190,19938
1782709055107,35350,80644192,20587,0,0,146870533,2742476588,20584,2823149,20584
1782709055360,35603,83258807,21335,0,0,150050276,2871409926,21332,2928063,21332
1782709055610,35854,89029511,22075,0,0,150236259,3007426328,22073,3506034,22073
1782709055861,36104,101615298,22826,0,0,155812227,3145231645,22823,3602116,22823
1782709056112,36355,105850414,23434,0,0,155946716,3291347924,23432,3701230,23432
1782709056364,36607,113676564,24243,0,0,168922274,3485719477,24240,3838634,24240
1782709056685,36929,117341881,24692,0,0,183849473,3579147890,24690,3916361,24690
1782709056942,37185,127172948,25652,0,0,188745580,3721600978,25650,4033182,25650
1782709057193,37436,127172948,25652,0,0,188745580,3721600978,25650,4033182,25650
1782709057444,37687,132957003,26404,0,0,197758700,3813050446,26402,4139459,26402
1782709057696,37940,135451234,27044,0,0,206954325,3926828647,27041,4293304,27041
1782709057948,38191,138668487,27703,0,0,215617500,4064920621,27700,4380394,27700
1782709058198,38441,145653431,28525,0,0,229477041,4290333003,28522,4514929,28522
1782709058450,38693,149838796,29260,0,0,244836909,4417280539,29257,4615549,29257
1782709058703,38947,154736073,29966,0,0,262423369,4562151828,29963,4713714,29963
1782709058954,39197,157644336,30620,0,0,262531052,4645525230,30618,4784706,30618
1782709059205,39448,159673203,31373,0,0,293182292,4753739659,31371,4883716,31371
1782709059456,39699,162101013,32124,0,0,294702057,4848440808,32122,4959733,32122
1782709059708,39952,163901638,32670,0,0,295148097,4913497596,32667,5017344,32667
1782709060244,40487,165471017,33357,0,0,305368583,5008586165,33355,5101561,33355
1782709060497,40740,167428580,34142,0,0,361414154,5130150045,34139,5179247,34139
1782709060755,40999,171873902,34641,0,0,372899797,5208915194,34639,5233363,34639
1782709061007,41250,172949521,35390,0,0,423425638,5293796153,35388,5295027,35388
1782709061257,41500,173309110,35890,0,0,430387054,5322761943,35888,5336450,35888
1782709061521,41764,175016287,36639,0,0,430488359,5389976897,36637,5404004,36637
1782709061775,42018,175908317,37246,0,0,439011160,5428666383,37243,5451299,37243
1782709062027,42270,177114152,37790,0,0,448244072,5478276651,37788,5501107,37788
1782709062280,42523,177669378,38541,0,0,448343089,5549086226,38539,5570029,38539
1782709062531,42774,181523352,39289,0,0,465203074,5634438786,39287,5642951,39287
1782709062782,43025,182687039,40149,0,0,480315909,5738749198,40147,5725449,40147
1782709063244,43487,183047405,40650,0,0,488355900,5784790524,40648,5769023,40648
1782709063504,43747,183374898,41151,0,0,488412882,5819260945,41149,5807895,41149
1782709063755,43999,184120668,41654,0,0,500666237,5872015968,41651,5855313,41651
1782709064010,44253,186806684,42318,0,0,500741965,5915114520,42315,5905877,42315
1782709064262,44505,187147897,42818,0,0,517504464,5959032014,42816,5949067,42816
1782709064513,44756,188279153,43565,0,0,517601659,6021398581,43563,6013569,43563
1782709064765,45008,189064067,44378,0,0,537646548,6118071003,44375,6095063,44375
1782709065016,45259,189785091,45016,0,0,537746560,6193529640,45013,6565354,45013
1782709065267,45510,191410302,45783,0,0,553784415,6275218043,45780,6650377,45780
1782709065518,45761,192528359,46507,0,0,556365390,6350413692,46504,6727112,46504
1782709065769,46012,193094278,47138,0,0,556452778,6410856832,47135,6787453,47135
1782709066020,46263,194374360,47999,0,0,572472926,6503015420,47996,6879346,47996
1782709066271,46514,195754624,48794,0,0,586550706,6584174011,48791,6964486,48791
1782709066523,46766,197774443,49529,0,0,586652388,6649035340,49526,7034398,49526
1782709066774,47017,198455516,50346,0,0,604214919,6737200886,50343,7113883,50343
1782709067026,47269,201656556,51026,0,0,619960598,6800139283,51023,7175696,51023
1782709067278,47521,202199761,51715,0,0,620070128,6880563474,51712,7659014,51712
1782709067533,47776,203139868,52374,0,0,649618461,6952416298,52371,7727026,52371
1782709067784,48027,206275932,53291,0,0,649747981,7052874953,53289,7816062,53289
1782709068035,48278,206900346,54043,0,0,649859267,7131209299,54041,7886851,54041
1782709068285,48528,208475874,54793,0,0,658605074,7228050060,54791,7958573,54791
1782709068538,48781,209496747,55542,0,0,658701857,7295706360,55540,8967527,55539
1782709068789,49032,209904344,56110,0,0,658779238,7363393451,56107,9016246,56106
1782709069040,49283,210639816,57025,0,0,669675314,7458083128,57023,9104058,57022
1782709069292,49535,211612388,57601,0,0,688177220,7531979456,57598,9160420,57597
1782709069543,49786,213066282,58399,0,0,693914849,7649296059,58396,9712067,58395
1782709069794,50037,213773812,59258,0,0,695028397,7744994173,59256,9798203,59255
1782709070047,50290,215838855,59813,0,0,714158487,7873951709,59810,9874531,59809
1782709070299,50542,219284480,60721,0,0,714316513,7997234906,60718,9986258,60717
1782709070550,50793,220237391,61475,0,0,727100985,8081263544,61472,10057520,61471
1782709071121,51364,220795659,62192,0,0,730935328,8160155637,62190,10309136,62189
1782709071554,51797,221144283,62692,0,0,730999820,8204450782,62690,10353488,62689
1782709071805,52048,221622953,63231,0,0,731070511,8252741975,63229,11286234,63225
1782709072056,52299,223510419,63981,0,0,737355215,8347871548,63979,11364774,63975
1782709072309,52552,224681969,64734,0,0,737466182,8441091143,64732,11436104,64728
1782709072563,52806,225307063,65485,0,0,755845050,8528696440,65483,11506584,65478
1782709072814,53057,227278173,66195,0,0,755945441,8615585567,66193,12145266,66188
1782709073066,53309,227862656,66947,0,0,756055500,8692590666,66945,12217616,66929
1782709073317,53560,228968582,67698,0,0,775814172,8771447419,67696,12288097,67680
1782709073568,53811,229979169,68449,0,0,787297928,8859336898,68447,12355361,68431
1782709073820,54063,231419747,69199,0,0,787403247,8933248086,69197,12427223,69181
1782709074071,54314,231949146,69950,0,0,792829107,9006778907,69948,12494907,69932
1782709074322,54565,232541007,70701,0,0,793069509,9100952987,70699,12565515,70683
1782709074573,54816,233560349,71452,0,0,810893009,9203471647,71450,12643320,71434
1782709074928,55171,234860875,72146,0,0,810993147,9267102987,72144,12709619,72128
1782709075178,55421,235506004,72899,0,0,831092460,9347829902,72897,13159101,72881
1782709075431,55674,236065968,73650,0,0,843788630,9426143540,73648,13230304,73632
1782709075682,55926,237109797,74396,0,0,861955580,9509377427,74394,13295381,74376
1782709075933,56176,237275556,74661,0,0,889753001,9522616127,74659,13316900,74641
1782709076184,56427,237639693,75156,0,0,901877231,9560385642,75154,13469928,75135
1782709076440,56683,237988316,75661,0,0,919776972,9601172338,75658,14134822,75638
1782709076691,56935,238303028,76142,0,0,919832672,9630749530,76140,14171190,76120
1782709076942,57185,238694944,76627,0,0,919894108,9696526579,76624,14211208,76596
1782709077194,57437,239759016,76940,0,0,919938753,9736142651,76938,14240740,76907
1782709077454,57697,239759016,76940,0,0,919938753,9736142651,76938,14240740,76907
1782709077713,57957,239759016,76940,0,0,919938753,9736142651,76938,14240740,76907
1782709077969,58212,239880082,76991,0,0,919944794,9738377497,76987,14244440,76956
1782709078254,58497,239880082,76991,0,0,919944794,9738377497,76987,14244440,76956
1782709078505,58748,239880082,76991,0,0,919944794,9738377497,76987,14244440,76956
1782709078760,59003,239890437,76995,0,0,919945378,9738542255,76989,14244800,76958
1782709079308,59551,239890437,76995,0,0,919945378,9738542255,76989,14244800,76958
1782709079571,59814,239890437,76995,0,0,919945378,9738542255,76989,14244800,76958
1782709079824,60067,239906011,76999,0,0,919946194,9739565599,76991,14244800,76958
1782709080161,60404,239906011,76999,0,0,919946194,9739565599,76991,14244800,76958
1782709080414,60657,239906011,76999,0,0,919946194,9739565599,76991,14244800,76958
1782709080665,60909,242539272,78211,0,0,933637925,9872883116,78201,14364020,78167
1782709080924,61167,244496937,79414,0,0,937085368,10055119421,79404,14484952,79370
1782709081182,61425,249555109,81052,0,0,951794256,10255360795,81042,14660086,81008
1782709081433,61676,250837093,82273,0,0,955353034,10389873105,82263,14777688,82229
1782709082213,62456,253126047,83652,0,0,970928703,10579934694,83643,14913836,83609
1782709083226,63469,253632129,84196,0,0,1040585679,10690287678,84186,14963596,84152
1782709083495,63738,255305079,85531,0,0,1098497920,10792242663,85522,15073186,85488
1782709083746,63990,256459647,86679,0,0,1109264170,10863192874,86669,15165967,86633
1782709084204,64447,261483216,88259,0,0,1109479832,11034713672,88250,15309267,88213
1782709084463,64706,262415766,89321,0,0,1110409112,11160067794,89311,15777909,89274
1782709084715,64959,263678570,90812,0,0,1135932027,11313512876,90802,15921193,90765
1782709085182,65425,264223468,91011,0,0,1135961706,11333455879,91002,15939202,90965
1782709085432,65675,266060246,92474,0,0,1185441404,11479321585,92465,16081835,92428
1782709085683,65927,267536950,93852,0,0,1200857920,11632138501,93842,16642734,93805
1782709086156,66399,270555712,95142,0,0,1216263582,11764380875,95133,16758830,95096
1782709086408,66651,272283412,96336,0,0,1234511160,11903689701,96326,16873813,96289
1782709086668,66912,272684509,96644,0,0,1234555389,11940227890,96635,16904303,96598
1782709086921,67164,274301360,97600,0,0,1256126713,12043831557,97590,16998875,97553
1782709087191,67434,276448577,98795,0,0,1271268594,12180871883,98786,17642942,98749
1782709087590,67833,282683648,100048,0,0,1287827808,12293570947,100039,17752774,100002
1782709087840,68084,284988269,101359,0,0,1354418021,12432564639,101349,17885563,101312
1782709088091,68334,288249876,102833,0,0,1363382378,12577421467,102823,18036470,102786
1782709088343,68586,290596072,104484,0,0,1376036842,12745645336,104474,18193019,104437
1782709088593,68837,295965099,105808,0,0,1389621546,12901906520,105798,18320754,105761
1782709088845,69088,298968070,107117,0,0,1405461192,13095024951,107107,18443487,107070
1782709089098,69341,300627463,108452,0,0,1419643824,13244146850,108443,18570215,108406
1782709089350,69593,302920937,109933,0,0,1419846087,13390569153,109923,18710503,109886
