ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782839690194,0,lo,0,0,0,0,0,0,0.000
1782839690786,593,lo,0,0,0,0,0,0,0.000
1782839691037,844,lo,0,0,0,0,0,0,0.000
1782839691290,1096,lo,0,0,0,0,0,0,0.000
1782839691574,1379,lo,0,0,0,0,0,0,0.000
1782839691825,1631,lo,0,0,0,0,0,0,0.000
1782839692076,1883,lo,0,0,0,0,0,0,0.000
1782839692328,2133,lo,0,0,0,0,0,0,0.000
1782839692578,2384,lo,0,0,0,0,0,0,0.000
1782839692840,2646,lo,0,0,0,0,0,0,0.000
1782839693092,2899,lo,0,0,0,0,0,0,0.000
1782839693343,3149,lo,0,0,0,0,0,0,0.000
1782839693597,3403,lo,0,0,0,0,0,0,0.000
1782839693848,3654,lo,0,0,0,0,0,0,0.000
1782839694099,3906,lo,0,0,0,0,0,0,0.000
1782839694357,4162,lo,0,0,0,0,0,0,0.000
1782839694607,4414,lo,300,0,0,300,0,0,0.000
1782839694926,4733,lo,588,0,0,288,0,0,0.000
1782839695177,4984,lo,980,0,0,392,0,0,0.000
1782839695774,5580,lo,1440,0,0,460,0,0,0.000
1782839696078,5885,lo,1988,0,0,548,0,0,0.000
1782839696329,6134,lo,2366,0,0,378,0,0,0.000
1782839696629,6435,lo,2728,0,0,362,0,0,0.000
1782839696933,6740,lo,2912,0,0,184,0,0,0.000
1782839697244,7050,lo,3328,0,0,416,0,0,0.000
1782839697496,7301,lo,3696,0,0,368,0,0,0.000
1782839697746,7553,lo,3992,0,0,296,0,0,0.000
1782839697997,7803,lo,4298,0,0,306,0,0,0.000
1782839698254,8060,lo,4608,0,0,310,0,0,0.000
1782839698682,8488,lo,5120,0,0,512,0,0,0.000
1782839698949,8755,lo,5420,0,0,300,0,0,0.000
1782839699212,9017,lo,5732,0,0,312,0,0,0.000
1782839699462,9268,lo,6032,0,0,300,0,0,0.000
1782839700022,9828,lo,6704,0,0,672,0,0,0.000
1782839700272,10077,lo,7004,0,0,300,0,0,0.000
1782839700522,10328,lo,7304,0,0,300,0,0,0.000
1782839700773,10580,lo,7604,0,0,300,0,0,0.000
1782839701023,10830,lo,7904,0,0,300,0,0,0.000
1782839701273,11079,lo,8204,0,0,300,0,0,0.000
1782839701542,11348,lo,8532,0,0,328,0,0,0.000
1782839701978,11784,lo,9052,0,0,520,0,0,0.000
1782839702406,12212,lo,9564,0,0,512,0,0,0.000
1782839702679,12485,lo,9896,0,0,332,0,0,0.000
1782839703079,12886,lo,10372,0,0,476,0,0,0.000
1782839704007,13814,lo,11472,0,0,1100,0,0,0.000
1782839704267,14073,lo,11744,0,0,272,0,0,0.000
1782839704518,14324,lo,12084,0,0,340,0,0,0.000
1782839704768,14575,lo,12384,0,0,300,0,0,0.000
1782839705019,14825,lo,12684,0,0,300,0,0,0.000
1782839705269,15075,lo,12980,0,0,296,0,0,0.000
1782839705519,15325,lo,13288,0,0,308,0,0,0.000
1782839705769,15576,lo,13592,0,0,304,0,0,0.000
1782839706020,15826,lo,13892,0,0,300,0,0,0.000
1782839706271,16076,lo,14188,0,0,296,0,0,0.000
1782839706521,16326,lo,14492,0,0,304,0,0,0.000
1782839706771,16578,lo,14788,0,0,296,0,0,0.000
1782839707022,16828,lo,15092,0,0,304,0,0,0.000
1782839707272,17077,lo,15388,0,0,296,0,0,0.000
1782839707522,17328,lo,15692,0,0,304,0,0,0.000
1782839707772,17579,lo,15992,0,0,300,0,0,0.000
1782839708023,17829,lo,16292,0,0,300,0,0,0.000
1782839708273,18079,lo,16592,0,0,300,0,0,0.000
1782839708524,18329,lo,16892,0,0,300,0,0,0.000
1782839708774,18580,lo,17192,0,0,300,0,0,0.000
1782839709024,18831,lo,17492,0,0,300,0,0,0.000
1782839709274,19080,lo,17796,0,0,304,0,0,0.000
1782839709524,19330,lo,18092,0,0,296,0,0,0.000
1782839709775,19582,lo,18392,0,0,300,0,0,0.000
1782839710026,19833,lo,18696,0,0,304,0,0,0.000
1782839710277,20082,lo,18996,0,0,300,0,0,0.000
1782839710527,20333,lo,19296,0,0,300,0,0,0.000
1782839710778,20584,lo,19596,0,0,300,0,0,0.000
1782839711028,20834,lo,19896,0,0,300,0,0,0.000
1782839711278,21084,lo,20192,0,0,296,0,0,0.000
1782839711528,21334,lo,20496,0,0,304,0,0,0.000
1782839711779,21585,lo,20800,0,0,304,0,0,0.000
