ts_unix_ms,sngrep_pct,sipp_pct
1782839695270,0.7,1.7
1782839696274,0.2,1.5
1782839697369,0.2,1.6
1782839698405,0.5,3.6
1782839699407,0.5,1.7
1782839700410,0.2,2.2
1782839701499,0.2,2.8
1782839702538,0.5,1.9
1782839704009,0.2,1.7
1782839705015,0.7,2.7
1782839706028,0.2,3.0
1782839707033,0.2,2.5
1782839708036,0.2,3.0
1782839709039,0.5,2.5
1782839710042,0.2,2.5
1782839711046,0.2,2.5
1782839712050,0.2,3.0
1782839713052,0.5,2.0
1782839714059,0.5,2.5
1782839715066,0.2,2.7
1782839716070,0.2,3.0
1782839717338,0.2,2.2
1782839718345,0.5,1.7
1782839719347,0.5,0.7
1782839720409,0.2,0.5
1782839721510,0.0,0.2
1782839722801,0.2,0.4
1782839723812,1.5,3.0
1782839724823,1.7,3.7
1782839725827,1.0,2.2
1782839726959,2.0,4.6
1782839728090,1.8,3.1
1782839729093,1.7,3.0
1782839730099,1.7,4.5
1782839731149,1.9,5.0
1782839732152,1.7,6.2
1782839733157,1.5,4.7
1782839734160,2.0,5.5
1782839735164,1.7,5.2
1782839736167,1.5,4.7
1782839737171,1.7,5.2
1782839738175,2.0,4.2
1782839739181,1.7,3.5
1782839740184,2.0,3.7
1782839741189,1.7,4.5
1782839742191,2.0,6.0
1782839743195,2.0,5.7
1782839744200,2.0,5.5
1782839745204,1.7,5.2
1782839746209,1.7,5.0
1782839747247,2.2,3.6
1782839748281,1.0,1.7
1782839749900,0.0,0.8
1782839750903,0.7,2.2
1782839751905,3.0,5.5
1782839752912,2.7,5.2
1782839753915,3.5,5.7
1782839755069,3.2,6.3
1782839756192,3.1,4.2
1782839757704,3.5,6.4
1782839758722,3.2,4.7
1782839759752,3.2,5.1
1782839760970,3.5,4.7
1782839761977,3.5,5.5
1782839762981,3.7,8.0
1782839763984,3.5,7.7
1782839764989,3.0,7.5
1782839765992,3.5,8.0
1782839766995,3.5,8.0
1782839768001,3.7,8.0
1782839769004,3.2,7.5
1782839770008,3.5,7.5
1782839771011,3.0,6.0
1782839772014,3.7,7.0
1782839773017,3.5,8.2
1782839774021,3.2,6.7
1782839775024,3.5,6.5
1782839776197,2.3,2.6
1782839777295,0.0,0.9
1782839778299,0.0,1.0
1782839779303,1.7,3.0
1782839780539,5.7,6.5
1782839781611,5.8,6.3
1782839782615,6.5,8.7
1782839783646,6.8,10.2
1782839784649,6.7,7.5
1782839785652,7.0,11.0
1782839786661,6.4,9.9
1782839787686,5.9,6.8
1782839788689,6.5,8.2
1782839789696,6.0,7.2
1782839790703,5.7,7.0
1782839791717,5.7,8.1
1782839792727,6.2,7.9
1782839793732,6.5,7.0
1782839794736,6.2,9.2
1782839795739,6.7,11.0
1782839796742,6.5,11.0
1782839797747,6.2,8.7
1782839798772,5.1,5.9
1782839799775,5.5,7.2
1782839800777,5.2,9.0
1782839801781,7.0,11.2
1782839802800,6.9,11.8
1782839803803,8.0,9.5
1782839804806,0.2,2.0
1782839805812,0.0,2.0
1782839806820,0.2,1.5
1782839807827,15.1,16.4
1782839808832,12.4,13.4
1782839809836,15.7,19.4
1782839810839,14.5,18.7
1782839811850,13.9,16.1
1782839812856,11.7,13.2
1782839813864,18.4,22.3
1782839814869,14.9,16.4
1782839815872,17.2,19.4
1782839816879,20.4,21.8
1782839817882,9.0,9.7
1782839818885,15.2,18.9
1782839819888,15.7,21.7
1782839820891,19.2,21.2
1782839821893,13.5,16.0
1782839822908,13.6,15.5
1782839823918,13.9,17.1
1782839824925,14.6,17.4
1782839825936,17.3,22.5
1782839826940,17.9,20.7
1782839827943,18.4,20.7
1782839828958,15.0,15.8
1782839829961,16.0,16.0
1782839830964,14.2,16.0
1782839831968,12.0,7.5
1782839832971,0.2,2.2
1782839834221,0.4,2.8
1782839835269,2.6,5.0
1782839836272,24.7,30.4
1782839837277,24.9,25.1
1782839838282,24.9,27.1
1782839839285,24.9,28.7
1782839840300,22.4,26.4
1782839841304,25.1,35.6
1782839842309,25.1,34.1
1782839843320,25.0,32.4
1782839844323,25.2,34.6
1782839845327,24.9,36.6
1782839846346,25.0,35.3
1782839847353,25.1,34.5
1782839848356,25.2,35.6
1782839849382,24.6,34.1
1782839850393,23.0,32.1
1782839851400,25.1,38.2
1782839852405,25.1,36.6
1782839853414,25.0,37.2
1782839854423,25.0,37.4
1782839855426,24.9,36.9
1782839856432,24.4,32.6
1782839857435,16.0,19.9
1782839858439,24.9,35.9
1782839859446,25.1,35.5
1782839860771,14.3,11.1
1782839861989,0.4,3.7
1782839863164,0.6,4.7
1782839864175,1.0,4.5
