ts_unix_ms,sngrep_pct,sipp_pct
1782834115301,0.2,2.5
1782834116304,0.5,2.0
1782834117308,0.0,2.2
1782834118310,0.2,2.5
1782834119313,0.2,2.0
1782834120316,0.2,2.2
1782834121319,0.2,2.5
1782834122322,0.2,2.2
1782834123326,0.2,2.7
1782834124390,0.2,1.2
1782834125393,0.2,1.2
1782834126395,0.2,3.0
1782834127398,0.2,2.0
1782834128413,0.5,1.0
1782834129416,0.2,2.5
1782834130419,0.0,3.0
1782834131421,0.5,3.0
1782834132432,0.5,2.0
1782834133437,0.2,2.2
1782834134447,0.2,2.0
1782834135469,0.2,1.7
1782834136472,0.2,2.0
1782834137475,0.5,2.7
1782834138477,0.2,1.2
1782834139503,0.2,1.5
1782834140507,0.2,-25.4
1782834141513,0.0,0.5
1782834142519,0.0,0.0
1782834143521,1.0,4.2
1782834144525,1.0,4.0
1782834145528,1.2,4.5
1782834146569,1.4,4.1
1782834147572,1.2,4.2
1782834148575,1.0,4.5
1782834149578,1.5,5.0
1782834150581,1.0,4.5
1782834151584,1.5,4.5
1782834152588,1.2,3.5
1782834153591,1.2,5.5
1782834154594,1.2,3.7
1782834155597,1.2,5.2
1782834156600,1.7,4.7
1782834157604,1.2,5.0
1782834158606,1.0,4.2
1782834159609,1.2,5.5
1782834160612,1.2,4.7
1782834161615,1.2,4.7
1782834162620,1.2,5.5
1782834163625,1.2,4.7
1782834164628,1.2,4.5
1782834165632,1.0,5.2
1782834166675,1.2,4.3
1782834167679,1.7,-51.5
1782834168993,0.0,0.8
1782834170000,0.0,0.5
1782834171005,0.2,1.0
1782834172008,2.5,4.5
1782834173011,2.2,6.0
1782834174014,2.2,5.2
1782834175017,2.2,6.0
1782834176020,2.5,5.7
1782834177053,1.9,4.8
1782834178058,2.2,6.0
1782834179060,2.0,5.7
1782834180063,2.2,5.5
1782834181067,2.2,6.5
1782834182071,2.7,6.0
1782834183076,2.5,6.7
1782834184117,2.2,5.0
1782834185138,2.2,4.2
1782834186145,2.2,4.7
1782834187149,2.5,6.0
1782834188169,2.2,4.4
1782834189172,2.5,5.2
1782834190175,2.2,6.2
1782834191179,2.7,6.2
1782834192184,2.2,4.2
1782834193187,2.2,5.7
1782834194201,2.5,5.2
1782834195204,2.2,5.2
1782834196208,1.5,-58.5
1782834197215,0.2,1.0
1782834198233,0.0,0.7
1782834199238,0.7,2.2
1782834200240,4.5,8.2
1782834201244,4.2,7.5
1782834202247,4.7,8.0
1782834203251,4.2,7.5
1782834204262,4.0,7.9
1782834205266,3.7,7.0
1782834206269,4.7,8.5
1782834207272,4.5,8.7
1782834208275,5.0,9.0
1782834209277,4.5,8.2
1782834210281,4.2,8.0
1782834211284,4.7,8.5
1782834212289,4.7,9.0
1782834213291,4.5,9.0
1782834214294,4.7,7.5
1782834215300,3.7,7.0
1782834216304,4.7,9.2
1782834217307,4.5,9.0
1782834218309,4.5,8.0
1782834219312,4.5,8.2
1782834220316,4.0,8.2
1782834221318,4.7,8.5
1782834222322,4.7,8.7
1782834223325,4.2,8.7
1782834224370,3.1,-82.7
1782834225378,0.0,1.5
1782834226418,0.0,1.2
1782834227428,1.2,3.2
1782834228434,6.5,10.4
1782834229437,9.2,12.2
1782834230462,7.3,11.5
1782834231466,9.7,14.2
1782834232469,9.2,13.7
1782834233472,9.7,13.2
1782834234476,8.7,12.2
1782834235479,9.5,13.2
1782834236484,9.5,14.4
1782834237487,9.2,13.2
1782834238490,9.5,12.7
1782834239493,9.2,13.2
1782834240496,9.0,14.0
1782834241499,9.5,13.2
1782834242504,6.0,9.0
1782834243509,9.2,13.9
1782834244512,9.2,15.0
1782834245516,9.2,13.9
1782834246519,4.2,6.2
1782834247522,9.7,15.2
1782834248525,9.0,15.0
1782834249528,9.5,14.2
1782834250531,9.0,13.2
1782834251536,8.0,11.7
1782834253478,2.8,-69.4
1782834254531,0.2,2.4
1782834255534,5.0,9.0
1782834256538,17.9,22.7
1782834257542,18.4,21.2
1782834258545,19.2,21.7
1782834259551,18.4,22.4
1782834260555,18.9,23.4
1782834261559,12.0,16.7
1782834262563,18.4,22.4
1782834263566,17.4,21.7
1782834264570,14.9,20.4
1782834265572,10.2,14.7
1782834266576,19.4,24.2
1782834267579,19.2,23.9
1782834268582,19.4,25.4
1782834269587,19.2,25.6
1782834270590,19.9,24.4
1782834271594,20.2,25.7
1782834272598,19.7,25.9
1782834273603,20.1,27.4
1782834274606,20.9,25.7
1782834275613,20.1,26.3
1782834276621,21.3,27.3
1782834278200,12.8,17.9
1782834279206,16.2,22.4
1782834280212,18.1,23.1
1782834281242,1.2,-265.8
1782834282338,0.2,3.0
1782834283346,0.2,2.7
