ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782834110251,0,lo,0,0,0,0,0,0,0.000
1782834110501,250,lo,0,0,0,0,0,0,0.000
1782834110779,529,lo,0,0,0,0,0,0,0.000
1782834111032,782,lo,0,0,0,0,0,0,0.000
1782834111284,1033,lo,0,0,0,0,0,0,0.000
1782834111536,1284,lo,0,0,0,0,0,0,0.000
1782834111787,1536,lo,0,0,0,0,0,0,0.000
1782834112043,1793,lo,0,0,0,0,0,0,0.000
1782834112295,2044,lo,0,0,0,0,0,0,0.000
1782834112550,2298,lo,0,0,0,0,0,0,0.000
1782834112801,2550,lo,0,0,0,0,0,0,0.000
1782834113055,2805,lo,0,0,0,0,0,0,0.000
1782834113451,3199,lo,0,0,0,0,0,0,0.000
1782834113781,3531,lo,0,0,0,0,0,0,0.000
1782834114119,3869,lo,0,0,0,0,0,0,0.000
1782834114370,4119,lo,102,0,0,102,0,0,0.000
1782834114622,4372,lo,396,0,0,294,0,0,0.000
1782834114874,4623,lo,704,0,0,308,0,0,0.000
1782834115124,4874,lo,1000,0,0,296,0,0,0.000
1782834115374,5123,lo,1304,0,0,304,0,0,0.000
1782834115625,5375,lo,1604,0,0,300,0,0,0.000
1782834115875,5625,lo,1904,0,0,300,0,0,0.000
1782834116132,5881,lo,2112,0,0,208,0,0,0.000
1782834116383,6132,lo,2516,0,0,404,0,0,0.000
1782834116635,6385,lo,2816,0,0,300,0,0,0.000
1782834116886,6636,lo,3116,0,0,300,0,0,0.000
1782834117136,6886,lo,3420,0,0,304,0,0,0.000
1782834117389,7138,lo,3720,0,0,300,0,0,0.000
1782834117640,7390,lo,4026,0,0,306,0,0,0.000
1782834117891,7640,lo,4320,0,0,294,0,0,0.000
1782834118142,7892,lo,4628,0,0,308,0,0,0.000
1782834118393,8142,lo,4928,0,0,300,0,0,0.000
1782834118652,8402,lo,5240,0,0,312,0,0,0.000
1782834118956,8706,lo,5604,0,0,364,0,0,0.000
1782834119207,8957,lo,5900,0,0,296,0,0,0.000
1782834119458,9207,lo,6200,0,0,300,0,0,0.000
1782834119709,9459,lo,6500,0,0,300,0,0,0.000
1782834119960,9710,lo,6804,0,0,304,0,0,0.000
1782834120211,9961,lo,7112,0,0,308,0,0,0.000
1782834120463,10211,lo,7412,0,0,300,0,0,0.000
1782834120714,10464,lo,7712,0,0,300,0,0,0.000
1782834120966,10716,lo,8014,0,0,302,0,0,0.000
1782834121217,10967,lo,8312,0,0,298,0,0,0.000
1782834121470,11218,lo,8616,0,0,304,0,0,0.000
1782834121721,11471,lo,8922,0,0,306,0,0,0.000
1782834121973,11723,lo,9224,0,0,302,0,0,0.000
1782834122225,11974,lo,9524,0,0,300,0,0,0.000
1782834122476,12225,lo,9824,0,0,300,0,0,0.000
1782834122727,12477,lo,10124,0,0,300,0,0,0.000
1782834122977,12727,lo,10424,0,0,300,0,0,0.000
1782834123228,12978,lo,10728,0,0,304,0,0,0.000
1782834123482,13230,lo,10964,0,0,236,0,0,0.000
1782834123911,13661,lo,11072,0,0,108,0,0,0.000
1782834124162,13912,lo,11569,0,0,497,0,0,0.000
1782834124412,14161,lo,11872,0,0,303,0,0,0.000
1782834124806,14555,lo,12344,0,0,472,0,0,0.000
1782834125355,15103,lo,13000,0,0,656,0,0,0.000
1782834125606,15356,lo,13304,0,0,304,0,0,0.000
1782834125858,15608,lo,13604,0,0,300,0,0,0.000
