ts_unix_ms,sngrep_pct,sipp_pct
1782838144644,0.2,2.7
1782838145647,0.2,2.5
1782838146650,0.0,2.7
1782838147653,0.5,2.7
1782838148656,0.2,2.2
1782838149659,0.2,2.2
1782838150669,0.2,2.0
1782838151672,0.5,2.0
1782838152679,0.0,1.7
1782838153743,0.2,2.1
1782838154746,0.5,2.5
1782838155751,0.2,2.2
1782838156754,0.2,3.0
1782838157760,0.2,2.2
1782838158764,0.2,2.7
1782838159767,0.2,2.7
1782838160770,0.2,2.5
1782838161774,0.2,2.7
1782838162777,0.2,2.5
1782838163781,0.2,3.7
1782838164791,0.5,3.7
1782838165801,0.2,4.2
1782838166811,0.2,4.0
1782838167816,0.5,3.7
1782838168831,0.5,-30.8
1782838169850,0.0,0.2
1782838170856,0.0,0.5
1782838171859,0.0,0.7
1782838172867,1.2,5.0
1782838173872,1.5,6.0
1782838174901,1.2,3.6
1782838175911,1.5,4.5
1782838176914,1.5,6.7
1782838177918,1.7,6.2
1782838178923,2.2,8.5
1782838179926,1.5,7.7
1782838180930,1.2,5.5
1782838181934,1.5,7.7
1782838182952,1.7,7.6
1782838183956,1.7,5.5
1782838184971,1.7,5.7
1782838185984,1.7,4.7
1782838186987,1.5,4.2
1782838187994,1.7,5.2
1782838188996,2.0,5.2
1782838190019,2.0,5.4
1782838191024,1.5,5.0
1782838192034,1.7,5.2
1782838193048,1.7,5.4
1782838194062,2.0,5.7
1782838195072,2.0,4.7
1782838196081,2.2,5.5
1782838197084,2.0,-65.3
1782838198102,0.0,0.5
1782838199153,0.2,0.5
1782838200172,0.5,2.0
1782838201181,3.2,7.7
1782838202191,2.2,4.7
1782838203201,3.2,7.4
1782838204207,3.0,7.5
1782838205213,3.5,7.7
1782838206219,3.2,7.2
1782838207224,3.5,9.7
1782838208231,3.5,10.2
1782838209234,4.2,10.2
1782838210244,3.0,6.9
1782838211247,3.0,8.0
1782838212253,2.7,7.5
1782838213257,2.7,7.5
1782838214260,2.7,6.5
1782838215263,2.7,8.0
1782838216267,2.7,7.2
1782838217270,3.2,8.7
1782838218274,2.7,9.0
1782838219276,2.7,7.5
1782838220341,2.6,5.9
1782838221348,2.7,7.2
1782838222353,2.7,6.0
1782838223414,1.6,5.7
1782838224417,2.7,10.2
1782838225813,1.3,-62.5
1782838226822,0.2,0.7
1782838228138,0.2,0.9
1782838229143,6.0,13.7
1782838230150,7.5,13.7
1782838231153,7.0,15.2
1782838232159,7.0,14.4
1782838233163,6.7,14.2
1782838234168,7.0,13.9
1782838235176,5.2,9.9
1782838236216,3.1,5.3
1782838237223,4.5,10.2
1782838238232,6.7,14.4
1782838239241,6.9,13.9
1782838240452,5.6,10.1
1782838241455,6.7,13.2
1782838242460,7.5,15.7
1782838243469,6.7,14.4
1782838244476,8.2,15.6
1782838245498,6.4,12.0
1782838246506,6.2,11.9
1782838247510,6.2,12.7
1782838248517,6.5,13.4
1782838249539,3.9,9.0
1782838250546,3.2,6.7
1782838251558,5.7,10.9
1782838252578,3.7,8.6
1782838253719,3.1,-118.1
1782838254823,0.2,0.9
1782838255844,0.2,1.2
1782838256851,6.7,12.2
1782838257917,10.8,16.9
1782838258925,14.9,22.3
1782838260013,12.9,23.2
1782838261018,16.2,25.6
1782838262024,13.7,24.1
1782838263029,13.9,21.9
1782838264032,13.2,20.9
1782838265035,12.7,20.7
1782838266043,13.2,22.3
1782838267046,12.7,21.2
1782838268050,12.7,20.9
1782838269053,13.7,22.2
1782838270061,12.2,19.9
1782838271079,9.3,16.0
1782838272092,6.9,12.1
1782838273110,7.1,14.0
1782838274118,7.7,13.9
1782838275137,6.9,12.3
1782838276157,6.6,11.3
1782838277160,12.0,19.4
1782838278163,14.0,22.4
1782838279166,12.7,20.9
1782838280170,11.5,17.4
1782838281178,11.9,19.6
1782838282262,2.1,-187.9
1782838283275,0.2,2.2
1782838284327,0.0,2.6
1782838285331,3.7,7.7
1782838286338,24.3,29.8
1782838287346,24.3,32.0
1782838288357,24.5,35.6
1782838289503,19.8,28.1
1782838290515,8.2,14.8
1782838291522,8.7,11.9
1782838292532,23.3,33.9
1782838293546,25.1,37.5
1782838294554,12.9,16.4
1782838295564,12.4,17.3
1782838296579,11.3,17.5
1782838297582,10.7,16.4
1782838298595,10.4,14.8
1782838299601,25.1,35.5
1782838300606,24.9,35.1
1782838301612,21.6,29.6
1782838302619,24.6,33.8
1782838303625,24.8,37.3
1782838304639,24.7,36.0
1782838305652,25.2,36.8
1782838306667,23.4,35.7
1782838307673,25.1,36.5
1782838308690,11.6,18.2
1782838309699,23.5,34.9
1782838310791,7.1,-274.7
1782838311907,0.9,3.6
1782838312916,1.0,3.2
1782838313970,0.2,3.6
