ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782718739941,4.5,7.8,4.1,3.0,5.6,1323,2074
1782718740943,7.7,2.1,6.1,14.6,7.8,1323,2074
1782718741945,5.8,6.6,4.5,8.4,5.9,1324,2073
1782718742947,5.3,1.0,7.1,4.2,10.1,1327,2071
1782718743948,6.5,4.4,2.1,12.1,5.4,1331,2066
1782718744989,4.9,1.0,2.0,8.0,11.0,1332,2065
1782718746001,4.5,2.0,6.6,6.2,4.3,1333,2064
1782718747025,6.3,4.0,7.7,10.8,2.1,1334,2064
1782718748030,6.1,4.3,7.5,10.8,3.1,1334,2063
1782718749035,4.8,6.8,5.3,4.4,2.1,1334,2063
1782718750037,5.5,2.2,10.1,5.6,4.5,1334,2063
1782718751039,4.2,3.2,6.8,0.0,8.0,1334,2063
1782718752040,4.5,0.0,7.1,1.0,9.3,1334,2063
1782718753041,4.5,1.0,0.0,10.0,10.4,1335,2062
1782718754043,4.9,6.4,8.1,0.0,5.7,1335,2062
1782718755047,5.1,9.0,10.1,3.0,2.1,1336,2061
1782718756129,3.5,3.0,3.0,1.0,4.2,1337,2060
1782718757137,4.5,0.0,6.7,6.2,6.7,1338,2059
1782718758141,3.2,0.0,3.2,5.4,5.7,1340,2057
1782718759143,8.1,2.0,15.9,11.9,4.3,1340,2057
1782718760145,6.4,7.7,4.3,7.7,4.8,1340,2057
1782718761150,8.5,12.3,4.3,13.0,5.6,1341,2056
1782718762168,4.1,2.0,7.1,3.2,6.8,1342,2056
1782718763169,14.3,10.5,18.6,5.4,25.0,1343,2054
1782718764197,12.0,11.3,8.0,10.8,17.5,1345,2052
1782718765206,2.6,2.1,3.1,1.0,5.1,1345,2052
1782718766273,1.7,2.8,1.0,2.0,1.0,1345,2052
1782718767275,1.3,0.0,2.0,2.1,2.0,1345,2052
1782718768277,30.4,23.6,27.6,38.2,34.3,1347,2050
1782718769398,25.3,18.1,37.0,26.0,19.5,1357,2040
1782718770403,21.6,17.0,23.8,22.9,21.1,1372,2025
1782718771404,21.8,34.6,10.0,26.0,19.0,1383,2014
1782718772406,34.9,30.5,36.0,35.5,39.4,1385,2012
1782718773408,15.0,17.6,10.0,19.8,12.0,1387,2010
1782718774410,21.0,26.8,16.5,28.8,13.6,1390,2007
1782718775413,27.3,29.6,15.6,34.5,29.7,1390,2007
1782718776415,28.4,23.2,31.1,36.4,22.8,1390,2007
1782718777418,30.3,40.8,34.5,16.7,31.1,1392,2005
1782718778424,8.2,9.6,8.6,5.2,7.4,1395,2002
1782718779432,28.0,43.7,33.0,11.6,28.8,1395,2002
1782718780437,18.5,30.1,27.6,8.6,10.6,1395,2002
1782718781439,21.4,30.7,35.4,8.6,12.0,1395,2002
1782718782440,28.9,45.8,6.5,37.5,31.0,1395,2002
1782718783468,24.0,9.5,30.9,32.4,28.0,1395,2002
1782718784512,25.7,36.4,26.9,14.0,24.7,1395,2002
1782718785522,35.3,42.9,40.2,17.4,48.3,1396,2001
1782718786580,29.0,41.3,23.4,25.3,28.6,1396,2001
1782718787592,27.9,28.6,35.7,19.5,27.4,1397,2000
1782718788596,29.5,42.3,10.9,36.4,31.1,1397,2000
1782718789599,22.3,25.6,26.9,22.9,14.8,1398,1999
1782718790608,25.5,31.0,31.2,11.9,26.4,1398,1999
1782718791610,25.4,36.0,32.1,23.2,10.6,1398,1999
1782718792619,27.4,29.3,42.3,10.6,33.8,1398,1999
1782718793713,1.4,1.9,0.0,0.9,1.9,1398,1999
1782718794734,0.8,1.0,4.1,0.0,0.0,1398,1999
1782718795737,11.2,5.4,13.2,13.6,10.6,1399,1998
1782718796743,37.0,37.8,12.4,54.8,48.6,1400,1997
1782718797745,41.5,39.2,40.0,42.9,42.6,1400,1997
1782718798752,58.6,17.6,71.2,77.5,76.9,1412,1986
1782718799759,43.4,26.5,52.7,55.0,42.0,1425,1972
1782718800766,49.7,34.9,62.5,51.4,48.4,1435,1963
1782718801769,63.0,30.4,83.1,62.5,81.4,1437,1961
1782718802771,53.4,11.8,80.0,55.0,79.4,1438,1959
1782718803773,54.7,56.7,73.8,16.5,81.0,1443,1954
1782718804777,48.3,62.9,8.5,57.0,80.0,1447,1950
1782718806339,28.5,40.0,7.5,28.7,41.3,1447,1950
1782718807341,46.5,69.0,45.5,27.6,41.9,1448,1949
1782718808342,50.3,70.5,57.8,13.3,64.8,1448,1949
1782718809344,26.5,26.1,26.0,17.0,37.5,1448,1949
1782718810346,51.8,78.9,58.7,7.5,71.4,1448,1949
1782718811348,34.2,47.6,29.1,33.3,26.3,1448,1949
1782718812350,41.5,54.5,18.2,59.3,35.6,1448,1949
1782718813351,49.0,38.3,63.0,33.7,63.2,1448,1949
1782718814356,49.5,24.7,67.4,31.1,75.8,1448,1949
1782718815384,37.8,43.8,51.7,18.7,38.7,1448,1949
1782718816386,33.2,11.5,46.7,45.7,31.3,1448,1949
1782718817393,46.8,9.4,67.8,65.8,51.7,1448,1949
1782718818397,45.3,14.4,62.6,60.8,45.3,1448,1949
1782718819409,18.6,11.5,24.5,23.9,16.7,1449,1948
1782718820411,33.1,50.0,14.3,41.9,28.6,1449,1948
1782718821435,11.9,13.6,7.1,14.4,10.5,1441,1956
1782718822463,0.5,1.1,0.0,2.0,0.0,1441,1956
1782718823486,2.0,2.1,1.0,2.0,3.0,1441,1956
1782718824489,21.6,9.4,32.6,29.5,18.1,1441,1956
1782718825492,62.8,62.7,39.8,75.0,81.0,1442,1955
1782718826495,47.0,52.7,36.2,52.1,47.8,1446,1951
1782718827497,69.3,93.8,38.0,44.3,100.0,1486,1911
1782718828499,65.2,93.7,32.9,40.0,100.0,1514,1883
1782718829505,64.3,89.7,18.3,50.8,98.6,1516,1881
1782718830506,64.8,63.4,18.6,86.6,100.0,1524,1873
1782718831512,64.9,41.1,35.8,87.8,97.1,1542,1856
1782718832514,65.7,59.0,43.5,68.2,98.6,1548,1849
1782718833515,65.1,49.3,91.1,24.7,100.0,1548,1849
1782718834522,65.4,76.7,92.1,11.1,98.5,1556,1841
1782718835524,63.1,68.4,91.7,10.5,97.0,1556,1841
1782718836525,64.1,75.0,91.1,7.5,98.5,1557,1840
1782718837526,65.3,73.3,91.5,8.7,100.0,1565,1832
1782718838528,63.0,69.5,93.2,7.7,98.6,1565,1832
1782718839531,63.6,12.8,92.5,59.4,97.1,1565,1832
1782718840534,63.8,16.9,92.6,57.1,97.1,1573,1824
1782718841535,63.8,9.6,90.0,78.1,95.6,1573,1824
1782718842537,50.5,81.1,9.8,58.1,62.3,1573,1824
1782718843546,61.6,92.5,7.5,83.6,80.4,1573,1824
1782718844546,62.6,90.4,39.1,47.4,77.2,1573,1824
1782718845554,62.5,94.0,8.4,82.9,82.3,1573,1824
1782718846555,62.3,93.6,46.4,23.5,90.8,1573,1824
1782718847558,64.0,92.6,77.4,7.4,97.1,1573,1824
1782718848560,64.1,90.2,70.5,9.7,98.6,1575,1823
1782718849562,56.0,85.7,59.7,8.9,77.1,1566,1831
1782718850575,3.2,2.0,1.0,4.1,3.9,1564,1833
1782718851654,4.1,2.8,7.4,4.8,2.8,1561,1836
1782718852807,8.5,11.3,9.1,10.1,2.8,1564,1833
1782718853812,56.8,67.1,75.7,41.3,46.6,1579,1818
1782718854823,40.9,42.9,49.3,16.9,74.3,1586,1811
1782718855840,41.8,26.2,42.3,44.3,68.4,1586,1811
1782718856844,39.7,31.7,49.3,28.6,63.9,1586,1811
1782718857850,41.3,20.0,50.8,50.8,45.6,1591,1806
1782718858910,44.1,62.9,49.4,52.2,18.1,1595,1802
1782718859919,62.4,91.3,73.4,30.9,59.7,1595,1802
1782718860924,63.6,92.5,44.1,30.4,98.3,1595,1802
1782718862283,39.9,55.0,36.7,17.9,50.9,1599,1798
1782718863288,61.8,81.4,76.1,39.2,52.2,1607,1790
1782718864297,52.1,67.9,58.8,88.3,8.0,1608,1790
1782718865306,43.7,32.6,48.1,49.3,45.8,1608,1789
1782718866309,42.6,15.1,39.2,48.7,87.0,1609,1789
1782718867312,55.8,14.3,67.9,63.5,93.5,1610,1787
1782718868318,63.9,6.5,93.2,79.7,98.5,1612,1785
1782718869327,64.4,10.5,90.0,73.0,98.6,1616,1781
1782718870331,63.9,12.4,92.3,60.9,100.0,1629,1769
1782718871333,64.7,73.8,90.4,12.4,100.0,1632,1765
1782718872340,64.0,79.3,93.2,6.5,98.5,1636,1761
1782718873342,24.7,11.4,36.5,20.3,32.5,1636,1761
1782718874346,63.5,9.5,91.2,69.0,100.0,1637,1760
1782718875354,63.3,20.5,82.3,59.7,98.5,1638,1759
1782718876357,64.1,42.0,54.8,63.3,98.5,1640,1758
1782718877361,61.4,74.6,88.7,10.9,94.8,1646,1751
1782718878364,29.1,31.7,47.7,7.7,28.9,1590,1807
1782718879369,5.6,5.8,6.4,10.1,2.0,1590,1807
