ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns,sip_pkt_ns,sip_pkt_cnt,rtp_pkt_ns,rtp_pkt_cnt
1782838004199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838004453,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838004704,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838004955,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838005208,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838005467,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838005719,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838005997,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838006273,2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838006586,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838006860,2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838007216,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838007865,3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838008127,3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838008377,4178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782838008630,4432,82434,361,0,0,5417,1876087,223,4042,223,1746085,19915,1778204,84,89987,139
1782838008881,4682,323612,1533,0,0,20396,4653331,865,15914,865,3948366,70357,3866582,196,756700,669
1782838009132,4934,573943,3129,0,0,41243,7812815,1711,32242,1711,6610776,138080,6256615,292,1495889,1419
1782838009383,5183,1731837,5503,0,0,77311,11880087,2949,57971,2949,9578333,290953,8897856,394,2751300,2555
1782838009634,5435,2344270,8747,0,0,120210,16349897,4626,90437,4626,13179172,329854,11468129,504,4590124,4122
1782838009884,5686,3466073,12411,0,0,330500,20663527,6508,128085,6508,16316613,447244,13816810,604,6485338,5904
1782838010137,5938,4304920,16491,0,0,383889,25609823,8596,168771,8596,20217011,494378,16037351,700,9135280,7896
1782838010389,6190,5462996,21378,0,0,443935,30743429,11089,215504,11089,24043290,538333,18566504,800,11651420,10289
1782838010640,6441,6559335,26677,0,0,517403,36234594,13816,269978,13816,28061598,638080,21590923,954,14015789,12862
1782838010890,6692,7827026,31975,0,0,600769,43039670,16543,328255,16543,33163051,768246,25295144,1110,17006881,15433
1782838011141,6943,8829637,36866,0,0,669733,49397454,19060,378226,19060,38229930,907705,28710746,1254,19854347,17806
1782838011392,7192,10145006,42248,0,0,747812,55627146,21830,434139,21830,42382650,1066776,31769109,1410,22919730,20420
1782838011643,7445,11065906,47143,0,0,813989,61346971,24346,538505,24346,46597790,1178967,34939817,1548,25376121,22798
1782838011894,7695,12246068,52441,0,0,938915,67550582,27073,588155,27073,51567926,1290564,38578863,1704,27845872,25369
1782838012145,7947,13962171,57738,0,0,1121136,73599970,29799,641989,29799,55924166,1502462,41822280,1860,30475171,27939
1782838012395,8196,15420461,62888,0,0,1329547,79521657,32448,692686,32448,60654590,1626972,45524475,2008,32597829,30440
1782838012646,8448,16378211,67778,0,0,1389307,85079172,34966,738444,34966,64779955,1855514,49036129,2154,34356798,32812
1782838012898,8699,17555039,73080,0,0,1457467,91042270,37692,790922,37692,69254683,1994668,52418785,2304,36839066,35388
1782838013148,8949,18762914,78378,0,0,1526703,97050086,40419,843744,40419,73729772,2145541,55444289,2460,39722559,37959
1782838013399,9199,19681166,83513,0,0,1594627,102773765,43062,894108,43062,78117894,2279571,58439801,2610,42354866,40452
1782838013649,9451,20628517,88811,0,0,1665723,108507979,45789,946918,45789,82607860,2426856,61844865,2766,44582856,43023
1782838013899,9701,21728603,93704,0,0,1729612,113938953,48305,995806,48305,86441786,2583772,64493326,2906,47085234,45399
1782838014150,9951,22635317,99003,0,0,1796410,118714350,51032,1046546,51032,90009322,2751586,67168300,3060,49089413,47972
1782838014400,10200,24071549,104049,0,0,1873142,125006523,53628,1100656,53628,94899170,2915469,71041612,3207,51406072,50421
1782838014650,10452,25221362,109349,0,0,2003367,131487942,56355,1153110,56355,99814729,3095332,74776989,3360,54054642,52995
1782838014901,10702,26178888,114647,0,0,2074882,137442872,59082,1206108,59082,104173533,3285276,78068740,3516,56617482,55566
1782838015152,10953,27553843,119538,0,0,2144744,143278375,61599,1257086,61599,108517627,3603774,81328803,3660,59097090,57939
1782838015402,11202,29021810,124659,0,0,2221620,149997666,64234,1311580,64234,113575274,3868111,84818167,3809,62224274,60425
1782838015652,11454,30502947,129960,0,0,2288098,156174771,66961,1362496,66961,118014025,4116054,88092050,3962,65031074,62999
1782838015902,11704,31422923,135259,0,0,2350190,161030070,69688,1411300,69688,121640535,4307109,90796072,4116,67089357,65572
1782838016155,11957,32398566,140149,0,0,2414871,166719884,72205,1459741,72205,125793452,4502253,93857449,4260,69626625,67945
1782838016406,12206,33693965,145234,0,0,2487638,173219363,74821,1512763,74821,130699566,4727041,97282348,4408,72600687,70413
1782838016656,12458,35528449,150533,0,0,2559654,179857208,77547,1566268,77547,135544251,4947423,101062556,4561,75265871,72986
1782838016907,12708,36639161,155832,0,0,2633365,186202958,80274,1620493,80274,140337068,5192958,104415918,4716,78156380,75558
1782838017158,12960,37804907,160722,0,0,2707444,192750867,82791,1672753,82791,145012487,5580827,108274345,4860,80746977,77931
1782838017409,13209,39082788,166235,0,0,2781164,199383414,85629,1725211,85629,149783934,6026644,111939412,5022,83548196,80607
1782838017660,13462,40301940,171129,0,0,2849268,205757883,88145,1775146,88145,154373386,6219205,115259841,5161,86508125,82984
1782838017910,13712,41613265,176428,0,0,2923693,211781535,90872,1829792,90872,158558370,6485769,118449805,5316,89238061,85556
1782838018161,13963,42687787,181727,0,0,2993285,217853608,93599,1882296,93599,163043641,6749375,121694852,5470,91965798,88129
1782838018412,14212,43987125,186906,0,0,3068660,224798364,96264,1936871,96264,168112892,7077600,124939286,5622,95563421,90642
1782838018664,14465,45032228,191796,0,0,3132825,230109070,98781,1984958,98781,172098409,7359648,128087941,5766,97634308,93015
1782838018914,14716,46677345,197098,0,0,3202382,235779545,101508,2098844,101508,176332810,7703383,131464151,5917,99829434,95591
1782838019165,14967,48008940,202396,0,0,3272617,241402948,104234,2151031,104234,180415796,8027552,134654542,6072,102163094,98162
1782838019415,15216,49290479,207453,0,0,3340285,247637977,106838,2201368,106838,185013813,8276033,137908620,6222,105048619,100616
1782838019668,15469,50619459,212756,0,0,3411566,255232295,109564,2254430,109564,190225707,8683948,142272899,6372,108178549,103192
1782838019919,15721,51979689,217646,0,0,3483161,260840868,112081,2306019,112081,194174486,9192649,145576190,6516,110386605,105565
1782838020170,15971,53748787,222945,0,0,3556746,267764102,114808,2360519,114808,199373346,9514559,149710702,6670,113073162,108138
1782838020420,16221,55169742,228071,0,0,3703898,274507239,117446,2417022,117446,204275936,9809239,153477738,6821,115944396,110625
1782838020672,16474,56562504,233370,0,0,3773429,280552359,120173,2469159,120173,208794542,10093576,156842189,6975,118505965,113198
1782838020923,16724,57570309,238671,0,0,3840064,286372556,122900,2519743,122900,213005029,10333165,160072914,7128,120999186,115772
1782838021174,16976,59280618,243560,0,0,3905775,292020805,125418,2568396,125418,217026324,10765940,163405259,7274,123222888,118144
1782838021426,17226,61121549,248686,0,0,3983333,299428243,128054,2624143,128054,222276746,11044843,167453487,7421,126478042,120633
1782838021678,17479,62482048,253985,0,0,4055657,306102524,130780,2678132,130780,226766856,11419065,170930176,7575,129562129,123205
1782838021929,17731,63835787,259285,0,0,4123400,311256611,133507,2729687,133507,230568883,11717109,173981339,7728,131567267,125779
1782838022179,17981,64860920,264176,0,0,4185339,317325180,136025,2834951,136025,234868943,12002958,177484289,7872,133872750,128153
1782838022430,18230,65840070,269694,0,0,4253162,323273224,138864,2886312,138864,239120329,12267769,181001125,8034,136205352,130830
1782838022682,18483,67713642,274584,0,0,4684240,330410619,141381,2938095,141381,244415910,12646761,184853405,8178,139390714,133203
1782838022932,18734,69144330,279887,0,0,4754398,337261752,144108,2990634,144108,249395619,13017592,188296852,8328,142699443,135780
1782838023183,18985,70940135,285185,0,0,4825252,344444340,146835,3044016,146835,254658228,13396653,192312271,8484,145766063,138351
1782838023435,19236,72462600,290298,0,0,4892817,351060088,149466,3095128,149466,259727434,13627516,196342336,8634,148255527,140832
1782838023686,19488,73842017,295189,0,0,5139494,357867665,151983,3147275,151983,264439042,14104555,200184888,8776,151121279,143207
1782838023937,19738,75199103,300490,0,0,5249341,363907662,154709,3200137,154709,268900937,14465211,203664570,8928,153581341,145781
1782838024188,19989,76431625,305787,0,0,5320501,370241297,157436,3253162,157436,273662485,14757584,207098218,9084,156258863,148352
1782838024438,20239,77434701,310916,0,0,5384295,376214502,160076,3302682,160076,278233343,15078752,210647509,9234,158589818,150842
1782838024689,20490,78480950,315809,0,0,5452467,382538772,162593,3352840,162593,282849056,15628591,214793102,9376,160673607,153217
1782838024939,20741,80242095,321110,0,0,5529077,389551179,165320,3510242,165320,287836771,16077446,219009796,9528,163364176,155792
1782838025190,20992,81394498,326409,0,0,5596706,395724968,168046,3562162,168046,292454338,16449767,222845906,9682,165603895,158364
1782838025441,21242,84044772,331498,0,0,5720723,408077544,170667,3633550,170667,301021826,17537141,230312983,9834,170337000,160833
1782838025692,21493,86996263,336797,0,0,5843520,419326265,173393,3711665,173393,309050447,18190922,236486985,9988,175273797,163405
1782838025942,21744,88885447,341690,0,0,5943520,428988303,175909,3777083,175909,315936052,18599399,241661434,10128,179642773,165781
1782838026192,21994,90889263,347143,0,0,6707564,440113506,178717,3853585,178717,323681638,19354080,248005009,10290,184267442,168427
1782838026443,22243,92738875,352035,0,0,6800493,448637573,181235,3917483,181235,329937194,19683723,252666594,10434,188015450,170801
1782838026694,22496,95363435,357337,0,0,6923411,460031168,183961,3993986,183961,338411539,20152480,258940397,10584,192996130,173377
1782838026945,22746,98162205,362636,0,0,7674294,471503435,186688,4069604,186688,346431396,20555221,264910949,10740,198340901,175948
1782838027195,22996,100265350,367768,0,0,7771126,481627842,189328,4133545,189328,353781302,21200887,270737129,10888,202283269,178440
1782838027446,23247,102162199,372658,0,0,7862544,492090553,191846,4194436,191846,360891058,21563636,276047775,11034,207019726,180812
1782838027697,23499,104009600,377960,0,0,8050898,502506850,194572,4264670,194572,368025726,22211057,282004814,11184,211331493,183388
1782838027950,23752,107005342,383257,0,0,8158740,512512758,197299,4336249,197299,375076124,22650554,287315349,11340,215899918,185959
1782838028200,24001,108723498,388333,0,0,8248102,520669829,199912,4397128,199912,380876293,23184214,291754509,11490,219437201,188422
1782838028451,24252,110868074,393635,0,0,8651885,532464562,202638,4471020,202638,389331414,23873069,298371459,11640,224462871,190998
1782838028701,24503,112431278,398526,0,0,8952515,541872618,205155,4535745,205155,396034635,24340246,302975497,11784,229150900,193371
1782838028952,24753,115862677,403824,0,0,9060248,551681409,207882,4606393,207882,402828737,24922405,308482159,11940,233106465,195942
1782838029203,25003,117471507,408904,0,0,9138672,561037908,210497,4661456,210497,408868571,25613596,312951640,12089,237891274,198408
1782838029454,25254,120149008,414205,0,0,9290702,573562666,213223,4795774,213223,418064575,26100095,320230289,12240,242996314,200983
1782838029705,25507,122457353,419502,0,0,9388877,582685125,215949,4861076,215949,424273577,26703430,325296726,12396,246933004,203553
1782838029955,25757,124095897,424392,0,0,9497433,592302115,218466,4923252,218466,431340878,27348147,331228406,12540,250435777,205926
1782838030206,26007,125795199,429529,0,0,9604089,602235908,221110,4993074,221110,438720236,27865238,337130517,12690,254343131,208420
1782838030457,26258,128655663,434830,0,0,10057290,614542044,223835,5085505,223835,446768120,28496838,343534481,12840,260094824,210995
1782838030708,26509,131339004,440128,0,0,10153760,623542021,226562,5150287,226562,453100973,29055000,348636370,12996,263874180,213566
1782838030959,26760,133146105,445018,0,0,10323562,630625932,229079,5204381,229079,457980435,29509138,352541274,13140,266795994,215939
1782838031213,27014,134999234,450551,0,0,10401894,637510924,231926,5261870,231926,462938988,30195432,356429529,13300,269672555,218626
1782838031465,27265,136469903,455443,0,0,10473388,644844737,234443,5375048,234443,468335859,30556922,360543918,13442,272795860,221001
1782838031717,27518,138011087,460743,0,0,10782052,652367000,237170,5429982,237170,473939628,31226253,365457724,13596,275300642,223574
1782838031967,27769,139500126,466041,0,0,10856649,659053717,239897,5484281,239897,478617301,31918838,369609934,13752,277733949,226145
1782838032219,28019,141719511,471161,0,0,10961742,669001322,242532,5552181,242532,485778839,32697127,374840797,13902,282327472,228630
1782838032469,28270,143743262,476460,0,0,11245650,677463156,245259,5613781,245259,492144812,33249708,380025475,14056,285490139,231203
1782838032719,28521,144817751,481353,0,0,11309299,683361849,247775,5661968,247775,496066241,34016549,383475949,14196,287847997,233579
1782838032971,28772,147229814,486653,0,0,11454291,691504223,250501,5719944,250501,501521743,34625925,387968014,14349,291328713,236152
1782838033222,29022,148736543,491792,0,0,11541231,701191482,253147,5779608,253147,508564724,35242229,393700305,14501,295035819,238646
1782838033472,29273,149646381,493830,0,0,11724407,705136079,254196,5809489,254196,511168102,35475024,395763266,14561,296863912,239635
1782838034292,30092,149646381,493830,0,0,11724407,705136079,254196,5809489,254196,511168102,35475024,395763266,14561,296863912,239635
1782838034585,30387,149667838,493911,0,0,11725853,705438391,254236,5810654,254236,511410907,35493532,396001612,14562,296925910,239674
