ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782838004199,0,lo,0,0,0,0,0,0,0.000
1782838004453,254,lo,0,0,0,0,0,0,0.000
1782838004704,505,lo,0,0,0,0,0,0,0.000
1782838004955,756,lo,0,0,0,0,0,0,0.000
1782838005208,1008,lo,0,0,0,0,0,0,0.000
1782838005467,1268,lo,0,0,0,0,0,0,0.000
1782838005719,1521,lo,0,0,0,0,0,0,0.000
1782838005997,1798,lo,0,0,0,0,0,0,0.000
1782838006273,2074,lo,0,0,0,0,0,0,0.000
1782838006586,2387,lo,0,0,0,0,0,0,0.000
1782838006860,2661,lo,0,0,0,0,0,0,0.000
1782838007216,3017,lo,0,0,0,0,0,0,0.000
1782838007865,3666,lo,0,0,0,0,0,0,0.000
1782838008127,3929,lo,0,0,0,0,0,0,0.000
1782838008377,4178,lo,3,0,0,3,0,0,0.000
1782838008630,4432,lo,984,0,0,981,0,0,0.000
1782838008881,4682,lo,3300,0,0,2316,0,0,0.000
1782838009132,4934,lo,6764,0,0,3464,0,0,0.000
1782838009383,5183,lo,11608,0,0,4844,0,0,0.000
1782838009634,5435,lo,17564,0,0,5956,0,0,0.000
1782838009884,5686,lo,24914,0,0,7350,0,0,0.000
1782838010137,5938,lo,33440,0,0,8526,0,0,0.000
1782838010389,6190,lo,43254,0,0,9814,0,0,0.000
1782838010640,6441,lo,53589,0,0,10335,0,0,0.000
1782838010890,6692,lo,64052,0,0,10463,0,0,0.000
1782838011141,6943,lo,74408,0,0,10356,0,0,0.000
1782838011392,7192,lo,84784,0,0,10376,0,0,0.000
1782838011643,7445,lo,95084,0,0,10300,0,0,0.000
1782838011894,7695,lo,105412,0,0,10328,0,0,0.000
1782838012145,7947,lo,115712,0,0,10300,0,0,0.000
1782838012395,8196,lo,126024,0,0,10312,0,0,0.000
1782838012646,8448,lo,136378,0,0,10354,0,0,0.000
1782838012898,8699,lo,146656,0,0,10278,0,0,0.000
1782838013148,8949,lo,157048,0,0,10392,0,0,0.000
1782838013399,9199,lo,167396,0,0,10348,0,0,0.000
1782838013649,9451,lo,177704,0,0,10308,0,0,0.000
1782838013899,9701,lo,187894,0,0,10190,0,0,0.000
1782838014150,9951,lo,198340,0,0,10446,0,0,0.000
1782838014400,10200,lo,208644,0,0,10304,0,0,0.000
1782838014650,10452,lo,219024,0,0,10380,0,0,0.000
1782838014901,10702,lo,229328,0,0,10304,0,0,0.000
1782838015152,10953,lo,239676,0,0,10348,0,0,0.000
1782838015402,11202,lo,250000,0,0,10324,0,0,0.000
1782838015652,11454,lo,260284,0,0,10284,0,0,0.000
