ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782838009253,4.0,2.1,5.4,7.5,2.2,1364,2034
1782838010254,6.9,4.0,4.4,11.2,7.2,1379,2018
1782838011254,9.5,6.2,6.7,15.9,11.0,1390,2008
1782838012255,8.6,3.1,5.5,11.2,13.4,1398,1999
1782838013256,9.2,4.1,6.6,15.7,11.0,1409,1988
1782838014258,8.6,3.1,7.5,12.4,14.5,1418,1979
1782838015259,9.4,5.1,6.6,11.6,14.3,1425,1972
1782838016259,9.5,5.1,7.7,16.9,8.8,1430,1967
1782838017261,9.9,3.1,8.6,15.6,12.2,1438,1959
1782838018262,8.7,4.1,8.6,14.6,12.3,1447,1950
1782838019262,8.6,4.1,5.5,12.5,12.2,1454,1943
1782838020263,9.4,4.1,6.5,15.4,10.8,1461,1936
1782838021265,8.8,3.1,6.5,15.2,11.1,1470,1927
1782838022265,9.1,4.1,6.6,17.8,9.9,1482,1915
1782838023265,9.4,5.1,8.5,14.6,8.8,1484,1913
1782838024267,9.2,4.1,6.6,16.5,11.1,1493,1904
1782838025267,9.8,4.1,5.6,17.0,14.6,1501,1896
1782838026268,18.0,8.3,7.2,32.5,26.9,1509,1888
1782838027269,15.5,6.2,8.1,26.0,23.5,1515,1883
1782838028270,16.8,7.3,8.1,29.1,26.7,1523,1874
1782838029271,15.5,7.3,7.1,26.2,24.6,1531,1867
1782838030272,16.2,5.2,9.3,27.5,27.1,1543,1854
1782838031275,13.2,4.2,7.9,23.8,17.9,1551,1846
1782838032276,11.7,6.2,8.0,19.5,13.7,1560,1838
1782838033276,12.0,5.2,6.8,21.4,18.4,1561,1836
1782838034519,1.4,0.8,0.8,1.6,0.8,1546,1852
1782838035568,0.0,1.0,0.0,0.0,0.9,1546,1852
1782838036569,1.8,2.0,1.1,1.0,3.1,1546,1851
1782838037570,18.6,6.2,11.8,29.6,31.5,1573,1824
1782838038572,44.6,13.7,15.7,74.1,83.8,1627,1770
1782838039575,45.4,17.0,17.4,70.9,83.3,1654,1743
1782838040576,47.8,16.5,16.1,72.8,90.5,1686,1711
1782838041577,53.6,18.5,17.0,87.5,93.3,1713,1684
1782838042582,50.6,17.2,14.8,81.9,94.1,1741,1656
1782838043582,58.2,22.0,17.2,94.4,96.7,1761,1636
1782838044585,54.1,18.7,15.9,89.4,95.4,1784,1614
1782838045586,50.1,14.9,11.4,86.9,92.0,1799,1598
1782838046587,44.2,13.8,12.6,75.3,82.9,1801,1596
1782838047596,55.0,18.1,13.8,90.9,97.8,1802,1595
1782838048599,44.9,14.1,14.9,80.5,84.1,1805,1592
1782838049603,50.9,17.4,12.8,91.9,92.8,1809,1588
1782838050612,42.6,16.1,14.1,81.5,71.2,1807,1591
