ts_unix_ms,sngrep_pct,sipp_pct
1782838009262,0.7,4.0
1782838010266,0.5,7.2
1782838011270,1.2,9.2
1782838012273,1.0,8.2
1782838013277,0.7,8.7
1782838014280,1.0,8.5
1782838015282,1.0,9.2
1782838016285,1.0,9.0
1782838017289,1.2,8.5
1782838018291,0.7,8.7
1782838019293,1.2,9.0
1782838020296,1.0,8.2
1782838021299,1.2,8.7
1782838022301,1.0,9.0
1782838023304,1.2,8.7
1782838024308,0.7,9.0
1782838025317,1.5,10.4
1782838026324,1.7,16.6
1782838027331,2.0,16.9
1782838028334,1.7,16.2
1782838029342,1.7,16.6
1782838030348,2.0,16.4
1782838031351,1.2,11.5
1782838032356,1.2,12.7
1782838033387,1.7,-200.0
1782838034409,0.0,0.2
1782838035416,0.0,0.2
1782838036420,0.0,0.7
1782838037423,1.5,15.4
1782838038433,3.5,36.9
1782838039442,4.5,40.9
1782838040449,5.0,40.7
1782838041461,5.2,46.2
1782838042472,4.7,43.5
1782838043481,5.4,48.8
1782838044492,5.2,46.7
1782838045496,4.2,45.1
1782838046505,3.7,39.1
1782838047515,4.7,47.8
1782838048526,4.5,40.1
1782838049536,5.4,44.8
1782838050546,4.5,39.4
1782838051551,4.5,40.8
1782838052559,4.2,39.4
1782838053569,5.2,43.1
1782838054575,4.2,39.0
1782838055583,4.5,39.7
1782838056589,4.7,41.0
1782838057600,4.5,39.8
1782838058607,5.0,40.2
1782838059617,5.0,39.9
1782838060621,4.2,39.1
1782838061625,4.2,-896.8
1782838062631,2.5,0.5
1782838063644,0.2,1.0
1782838064647,0.0,0.5
1782838065656,4.2,29.2
1782838066666,7.4,49.0
1782838067672,6.5,49.7
1782838068676,7.0,45.3
1782838069687,7.2,49.5
1782838070691,8.5,51.0
1782838071700,7.7,51.0
1782838072709,6.4,49.3
1782838073717,6.2,45.6
1782838074721,5.7,48.1
1782838075724,6.7,45.6
1782838076736,5.9,45.2
1782838077748,5.9,48.7
1782838078756,6.4,46.4
1782838079767,6.2,48.0
1782838080770,7.0,49.3
1782838081781,5.4,47.7
1782838082786,6.7,43.0
1782838083789,3.7,33.4
1782838084795,4.2,32.8
1782838085798,4.2,29.4
1782838086803,4.5,32.1
1782838087810,4.2,32.0
1782838088818,4.7,37.4
1782838089913,3.2,-877.9
1782838090959,0.2,0.5
1782838092007,0.0,0.2
1782838093012,1.0,4.5
1782838094051,7.5,41.6
1782838095080,10.2,51.0
1782838096086,9.2,48.0
1782838097092,7.2,50.7
1782838098099,6.7,48.6
1782838099102,7.0,47.4
1782838100111,6.9,45.6
1782838101125,6.4,46.3
1782838102128,6.0,46.9
1782838103137,5.0,44.4
1782838104146,5.5,47.8
1782838105158,5.4,45.7
1782838106162,5.2,40.1
1782838107165,4.0,31.4
1782838108168,4.0,28.9
1782838109173,4.5,30.1
1782838110177,6.5,31.9
1782838111184,6.0,32.0
1782838112191,4.2,32.8
1782838113196,4.0,30.4
1782838114199,5.5,36.6
1782838115209,4.5,32.4
1782838116213,4.0,28.9
1782838117216,4.7,31.1
1782838118224,2.2,-872.0
1782838119241,0.0,0.5
1782838120325,0.0,0.5
1782838121559,0.0,0.6
