ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782835263750,0,lo,0,0,0,0,0,0,0.000
1782835264007,257,lo,0,0,0,0,0,0,0.000
1782835264258,508,lo,0,0,0,0,0,0,0.000
1782835264528,778,lo,0,0,0,0,0,0,0.000
1782835264784,1034,lo,0,0,0,0,0,0,0.000
1782835265036,1286,lo,0,0,0,0,0,0,0.000
1782835265287,1537,lo,0,0,0,0,0,0,0.000
1782835265537,1787,lo,0,0,0,0,0,0,0.000
1782835265788,2038,lo,0,0,0,0,0,0,0.000
1782835266039,2289,lo,0,0,0,0,0,0,0.000
1782835266291,2541,lo,0,0,0,0,0,0,0.000
1782835266547,2797,lo,0,0,0,0,0,0,0.000
1782835266798,3048,lo,0,0,0,0,0,0,0.000
1782835267049,3299,lo,0,0,0,0,0,0,0.000
1782835267300,3550,lo,0,0,0,0,0,0,0.000
1782835267552,3802,lo,0,0,0,0,0,0,0.000
1782835267802,4052,lo,0,0,0,0,0,0,0.000
1782835268053,4303,lo,920,0,0,920,0,0,0.000
1782835268305,4555,lo,3116,0,0,2196,0,0,0.000
1782835268558,4808,lo,6608,0,0,3492,0,0,0.000
1782835268809,5059,lo,11384,0,0,4776,0,0,0.000
1782835269060,5310,lo,17352,0,0,5968,0,0,0.000
1782835269312,5562,lo,24592,0,0,7240,0,0,0.000
1782835269562,5812,lo,33078,0,0,8486,0,0,0.000
1782835269815,6065,lo,42868,0,0,9790,0,0,0.000
1782835270065,6315,lo,53296,0,0,10428,0,0,0.000
1782835270316,6566,lo,63582,0,0,10286,0,0,0.000
1782835270566,6816,lo,73960,0,0,10378,0,0,0.000
1782835270822,7072,lo,84412,0,0,10452,0,0,0.000
1782835271072,7322,lo,94708,0,0,10296,0,0,0.000
1782835271322,7572,lo,105044,0,0,10336,0,0,0.000
1782835271573,7823,lo,115354,0,0,10310,0,0,0.000
1782835271824,8074,lo,125710,0,0,10356,0,0,0.000
1782835272076,8326,lo,136152,0,0,10442,0,0,0.000
1782835272327,8577,lo,146516,0,0,10364,0,0,0.000
1782835272577,8827,lo,156840,0,0,10324,0,0,0.000
1782835272828,9078,lo,167196,0,0,10356,0,0,0.000
1782835273078,9328,lo,177380,0,0,10184,0,0,0.000
1782835273329,9579,lo,187800,0,0,10420,0,0,0.000
1782835273579,9829,lo,198108,0,0,10308,0,0,0.000
1782835273829,10079,lo,208416,0,0,10308,0,0,0.000
1782835274080,10330,lo,218708,0,0,10292,0,0,0.000
1782835274330,10580,lo,229018,0,0,10310,0,0,0.000
1782835274580,10830,lo,239314,0,0,10296,0,0,0.000
1782835274831,11081,lo,249624,0,0,10310,0,0,0.000
1782835275081,11331,lo,259938,0,0,10314,0,0,0.000
1782835275332,11582,lo,270232,0,0,10294,0,0,0.000
1782835275582,11833,lo,280552,0,0,10320,0,0,0.000
1782835275833,12083,lo,290868,0,0,10316,0,0,0.000
1782835276083,12333,lo,301184,0,0,10316,0,0,0.000
1782835276335,12585,lo,311544,0,0,10360,0,0,0.000
1782835276585,12836,lo,321836,0,0,10292,0,0,0.000
1782835276836,13086,lo,332208,0,0,10372,0,0,0.000
