ts_unix_ms,sngrep_pct,sipp_pct
1782835268793,0.5,4.5
1782835269797,0.7,8.2
1782835270800,0.7,9.5
1782835271803,1.2,9.7
1782835272807,1.0,9.7
1782835273810,1.0,10.0
1782835274814,0.7,9.5
1782835275818,1.0,10.0
1782835276821,1.0,9.7
1782835277826,0.7,10.2
1782835278829,1.2,10.0
1782835279832,0.7,10.2
1782835280836,1.0,9.7
1782835281840,1.2,10.0
1782835282843,0.7,10.2
1782835283847,1.0,10.0
1782835284850,1.0,9.7
1782835285854,1.2,9.7
1782835286859,1.0,9.7
1782835287863,0.7,10.0
1782835288866,1.0,9.7
1782835289870,1.0,10.0
1782835290874,1.2,10.2
1782835291878,1.0,9.7
1782835292881,1.0,-203.0
1782835294007,0.2,0.4
1782835295134,0.0,0.2
1782835296138,0.2,1.7
1782835297142,1.5,13.5
1782835298146,2.2,27.9
1782835299151,3.2,32.9
1782835300155,3.2,33.4
1782835301160,3.0,32.6
1782835302165,3.2,33.6
1782835303170,3.2,32.8
1782835304175,3.0,32.8
1782835305181,3.2,33.3
1782835306186,3.5,32.6
1782835307191,3.2,33.3
1782835308194,3.0,33.2
1782835309199,3.2,33.1
1782835310202,3.0,33.9
1782835311207,3.0,32.6
1782835312211,3.2,32.6
1782835313218,3.5,33.0
1782835314223,3.0,32.6
1782835315231,3.5,33.2
1782835316237,3.0,33.1
1782835317240,3.2,33.4
1782835318243,3.0,32.4
1782835319247,3.0,32.4
1782835320252,3.2,32.6
1782835321380,1.8,-630.1
1782835322446,0.2,0.5
1782835323495,0.0,0.7
1782835324498,1.2,7.2
1782835325507,4.0,36.7
1782835326512,5.5,72.9
1782835327518,5.5,79.2
1782835328539,5.4,78.4
1782835329547,6.0,79.7
1782835330555,5.2,75.9
1782835331560,5.7,82.8
1782835332568,6.2,83.6
1782835333599,5.8,80.8
1782835334638,5.3,87.1
1782835335646,5.7,84.8
1782835336655,6.9,81.5
1782835337658,6.7,82.5
1782835338671,5.7,79.5
1782835339688,5.4,82.5
1782835340700,5.7,81.0
1782835341719,5.9,85.9
1782835342729,5.0,84.9
1782835343735,5.5,84.7
1782835344765,6.3,84.5
1782835345783,6.4,81.0
1782835346793,6.2,81.9
1782835347812,5.6,83.7
1782835348818,5.0,80.0
1782835349833,4.7,-1843.1
1782835350855,0.0,0.5
1782835351866,0.2,0.5
1782835352871,3.0,13.7
1782835353924,6.9,71.2
1782835354956,2.9,93.2
1782835356007,9.0,80.9
1782835357041,4.8,82.4
1782835358052,8.4,78.4
1782835359065,6.7,72.1
1782835360074,5.0,80.0
1782835361086,6.7,74.6
1782835362122,5.1,75.5
1782835363139,8.4,78.9
1782835364147,5.5,71.4
1782835365167,7.1,74.0
1782835366175,5.5,66.0
1782835367197,6.6,69.7
1782835368207,5.2,65.8
1782835369216,5.5,66.4
1782835370222,6.5,66.1
1782835371235,6.7,68.6
1782835372246,5.9,63.0
1782835373258,5.7,66.3
1782835374266,6.2,63.5
1782835375278,6.2,61.8
1782835376284,6.2,64.1
1782835377295,5.9,63.1
1782835378301,0.5,-1673.1
1782835379391,0.0,0.7
1782835380394,0.0,0.7
