ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782835268786,5.6,7.4,3.2,6.5,4.3,1322,2075
1782835269786,9.7,12.9,12.0,8.9,4.7,1346,2051
1782835270786,12.6,14.0,14.1,13.2,11.6,1353,2044
1782835271787,13.5,13.0,13.5,13.2,12.5,1354,2043
1782835272788,12.3,12.1,15.2,10.2,10.5,1358,2039
1782835273788,12.7,14.0,14.3,12.9,12.6,1361,2036
1782835274790,11.3,11.1,10.1,11.2,9.5,1367,2030
1782835275790,12.5,12.2,14.3,12.2,11.5,1374,2023
1782835276790,11.7,12.9,14.1,12.0,8.3,1382,2015
1782835277791,12.8,12.2,13.3,13.3,11.8,1390,2007
1782835278792,12.8,14.3,13.8,12.1,10.7,1398,2000
1782835279794,11.9,13.3,11.4,12.2,9.6,1405,1992
1782835280795,11.8,12.0,13.8,12.1,10.7,1415,1982
1782835281798,12.8,14.3,11.4,13.0,13.8,1422,1976
1782835282799,12.8,11.2,12.8,14.1,10.7,1429,1968
1782835283799,11.8,14.1,13.3,11.1,9.5,1437,1960
1782835284800,12.3,14.3,12.1,13.0,11.6,1445,1953
1782835285802,12.5,14.0,14.0,10.2,11.6,1453,1944
1782835286803,12.8,14.0,12.4,12.1,10.6,1461,1936
1782835287803,12.1,13.2,13.2,11.1,10.6,1469,1928
1782835288804,12.0,13.0,12.1,13.2,9.5,1477,1920
1782835289806,13.3,15.1,14.3,13.2,12.5,1486,1911
1782835290806,12.3,11.1,12.4,13.8,9.5,1493,1904
1782835291807,11.8,13.3,11.1,12.1,10.6,1501,1896
1782835292807,12.5,14.7,14.1,11.2,10.5,1509,1888
1782835294008,0.8,0.0,0.9,1.7,0.0,1499,1898
1782835295133,0.7,0.0,0.0,0.0,0.0,1499,1898
1782835296133,1.8,5.1,3.1,0.0,2.0,1504,1893
1782835297134,16.2,15.7,18.0,18.3,13.4,1536,1861
1782835298135,28.9,26.2,30.1,28.0,31.1,1579,1818
1782835299135,37.6,38.8,36.7,38.3,36.1,1606,1791
1782835300136,38.3,37.8,39.0,37.8,38.4,1635,1762
1782835301137,36.1,35.8,39.0,35.4,35.1,1665,1732
1782835302137,38.3,35.0,37.3,44.7,35.6,1694,1703
1782835303138,37.5,32.5,39.5,37.2,38.4,1719,1678
