ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782839571820,0,lo,0,0,0,0,0,0,0.000
1782839572094,273,lo,0,0,0,0,0,0,0.000
1782839572345,524,lo,0,0,0,0,0,0,0.000
1782839572599,779,lo,0,0,0,0,0,0,0.000
1782839572849,1028,lo,0,0,0,0,0,0,0.000
1782839573107,1286,lo,0,0,0,0,0,0,0.000
1782839573365,1544,lo,0,0,0,0,0,0,0.000
1782839573619,1799,lo,0,0,0,0,0,0,0.000
1782839573872,2051,lo,0,0,0,0,0,0,0.000
1782839574123,2302,lo,0,0,0,0,0,0,0.000
1782839574378,2557,lo,0,0,0,0,0,0,0.000
1782839574644,2825,lo,0,0,0,0,0,0,0.000
1782839574898,3077,lo,0,0,0,0,0,0,0.000
1782839575177,3356,lo,0,0,0,0,0,0,0.000
1782839575428,3607,lo,0,0,0,0,0,0,0.000
1782839575689,3869,lo,0,0,0,0,0,0,0.000
1782839575940,4119,lo,112,0,0,112,0,0,0.000
1782839576191,4370,lo,1376,0,0,1264,0,0,0.000
1782839576442,4621,lo,3920,0,0,2544,0,0,0.000
1782839576692,4872,lo,7684,0,0,3764,0,0,0.000
1782839576942,5122,lo,12716,0,0,5032,0,0,0.000
1782839577193,5372,lo,18984,0,0,6268,0,0,0.000
1782839577443,5622,lo,26520,0,0,7536,0,0,0.000
1782839577693,5873,lo,35288,0,0,8768,0,0,0.000
1782839577943,6122,lo,45264,0,0,9976,0,0,0.000
1782839578194,6373,lo,55578,0,0,10314,0,0,0.000
1782839578444,6623,lo,65880,0,0,10302,0,0,0.000
1782839578695,6875,lo,76196,0,0,10316,0,0,0.000
1782839578946,7125,lo,86572,0,0,10376,0,0,0.000
1782839579196,7375,lo,96930,0,0,10358,0,0,0.000
1782839579446,7625,lo,107280,0,0,10350,0,0,0.000
1782839579697,7877,lo,117608,0,0,10328,0,0,0.000
1782839579947,8126,lo,127964,0,0,10356,0,0,0.000
1782839580197,8376,lo,138300,0,0,10336,0,0,0.000
1782839580448,8627,lo,148600,0,0,10300,0,0,0.000
1782839580698,8878,lo,158936,0,0,10336,0,0,0.000
1782839580948,9127,lo,169260,0,0,10324,0,0,0.000
1782839581198,9377,lo,179548,0,0,10288,0,0,0.000
1782839581448,9628,lo,189870,0,0,10322,0,0,0.000
1782839581699,9879,lo,200153,0,0,10283,0,0,0.000
1782839581949,10128,lo,210472,0,0,10319,0,0,0.000
1782839582199,10378,lo,220764,0,0,10292,0,0,0.000
1782839582450,10629,lo,231076,0,0,10312,0,0,0.000
1782839582700,10880,lo,241374,0,0,10298,0,0,0.000
1782839582951,11130,lo,251672,0,0,10298,0,0,0.000
1782839583201,11380,lo,261976,0,0,10304,0,0,0.000
1782839583452,11631,lo,272276,0,0,10300,0,0,0.000
1782839583703,11883,lo,282580,0,0,10304,0,0,0.000
1782839583954,12133,lo,292880,0,0,10300,0,0,0.000
1782839584204,12383,lo,303184,0,0,10304,0,0,0.000
1782839584455,12634,lo,313506,0,0,10322,0,0,0.000
1782839584705,12885,lo,323816,0,0,10310,0,0,0.000
1782839584955,13135,lo,334152,0,0,10336,0,0,0.000
1782839585206,13385,lo,344480,0,0,10328,0,0,0.000
1782839585457,13636,lo,354852,0,0,10372,0,0,0.000
1782839585707,13887,lo,365192,0,0,10340,0,0,0.000
1782839585957,14136,lo,375528,0,0,10336,0,0,0.000
1782839586207,14386,lo,385856,0,0,10328,0,0,0.000
1782839586458,14637,lo,396164,0,0,10308,0,0,0.000
1782839586708,14888,lo,406524,0,0,10360,0,0,0.000
1782839586959,15138,lo,416876,0,0,10352,0,0,0.000
1782839587209,15389,lo,427180,0,0,10304,0,0,0.000
1782839587460,15639,lo,437470,0,0,10290,0,0,0.000
1782839587710,15891,lo,447786,0,0,10316,0,0,0.000
1782839587961,16140,lo,458090,0,0,10304,0,0,0.000
1782839588211,16390,lo,468392,0,0,10302,0,0,0.000
1782839588462,16641,lo,478684,0,0,10292,0,0,0.000
1782839588713,16893,lo,488984,0,0,10300,0,0,0.000
1782839588963,17142,lo,499288,0,0,10304,0,0,0.000
1782839589213,17392,lo,509596,0,0,10308,0,0,0.000
1782839589464,17643,lo,519896,0,0,10300,0,0,0.000
1782839589716,17896,lo,530238,0,0,10342,0,0,0.000
1782839589966,18145,lo,540600,0,0,10362,0,0,0.000
1782839590217,18396,lo,550960,0,0,10360,0,0,0.000
1782839590467,18646,lo,561304,0,0,10344,0,0,0.000
1782839590718,18898,lo,571638,0,0,10334,0,0,0.000
1782839590968,19147,lo,581984,0,0,10346,0,0,0.000
1782839591219,19398,lo,592324,0,0,10340,0,0,0.000
1782839591469,19648,lo,602651,0,0,10327,0,0,0.000
1782839591719,19900,lo,612992,0,0,10341,0,0,0.000
1782839591970,20149,lo,623292,0,0,10300,0,0,0.000
1782839592220,20399,lo,633592,0,0,10300,0,0,0.000
1782839592472,20651,lo,643874,0,0,10282,0,0,0.000
1782839592723,20903,lo,654196,0,0,10322,0,0,0.000
1782839592973,21152,lo,664514,0,0,10318,0,0,0.000
1782839593224,21403,lo,674804,0,0,10290,0,0,0.000
1782839593474,21653,lo,685112,0,0,10308,0,0,0.000
1782839593725,21905,lo,695412,0,0,10300,0,0,0.000
1782839593975,22154,lo,705732,0,0,10320,0,0,0.000
1782839594226,22405,lo,716056,0,0,10324,0,0,0.000
1782839594476,22655,lo,726354,0,0,10298,0,0,0.000
1782839594726,22906,lo,736788,0,0,10434,0,0,0.000
1782839594977,23156,lo,747102,0,0,10314,0,0,0.000
1782839595227,23406,lo,757394,0,0,10292,0,0,0.000
1782839595478,23657,lo,767764,0,0,10370,0,0,0.000
1782839595728,23908,lo,778046,0,0,10282,0,0,0.000
1782839595979,24158,lo,788450,0,0,10404,0,0,0.000
1782839596229,24408,lo,798740,0,0,10290,0,0,0.000
1782839596479,24658,lo,809088,0,0,10348,0,0,0.000
1782839596730,24910,lo,819396,0,0,10308,0,0,0.000
1782839596981,25160,lo,829694,0,0,10298,0,0,0.000
1782839597232,25411,lo,840010,0,0,10316,0,0,0.000
1782839597483,25662,lo,850310,0,0,10300,0,0,0.000
1782839597734,25915,lo,860636,0,0,10326,0,0,0.000
1782839597985,26164,lo,870924,0,0,10288,0,0,0.000
1782839598235,26414,lo,881252,0,0,10328,0,0,0.000
1782839598486,26665,lo,891556,0,0,10304,0,0,0.000
1782839598737,26917,lo,901956,0,0,10400,0,0,0.000
1782839598987,27166,lo,912302,0,0,10346,0,0,0.000
1782839599238,27417,lo,922636,0,0,10334,0,0,0.000
1782839599489,27668,lo,933008,0,0,10372,0,0,0.000
1782839599739,27919,lo,943374,0,0,10366,0,0,0.000
1782839599990,28169,lo,953688,0,0,10314,0,0,0.000
1782839600241,28420,lo,964016,0,0,10328,0,0,0.000
1782839600491,28670,lo,974312,0,0,10296,0,0,0.000
1782839600743,28923,lo,984622,0,0,10310,0,0,0.000
1782839600998,29177,lo,990372,0,0,5750,0,0,0.000
1782839601374,29553,lo,990372,0,0,0,0,0,0.000
1782839602262,30441,lo,990372,0,0,0,0,0,0.000
1782839603637,31817,lo,990372,0,0,0,0,0,0.000
1782839603941,32120,lo,990372,0,0,0,0,0,0.000
1782839604191,32370,lo,992610,0,0,2238,0,0,0.000
1782839604441,32621,lo,998712,0,0,6102,0,0,0.000
1782839604692,32872,lo,1008588,0,0,9876,0,0,0.000
1782839604943,33122,lo,1022216,0,0,13628,0,0,0.000
1782839605193,33372,lo,1039570,0,0,17354,0,0,0.000
1782839605443,33622,lo,1060828,0,0,21258,0,0,0.000
1782839605695,33875,lo,1085730,0,0,24902,0,0,0.000
1782839605946,34125,lo,1114452,0,0,28722,0,0,0.000
1782839606197,34376,lo,1145377,0,0,30925,0,0,0.000
1782839606451,34630,lo,1176538,0,0,31161,0,0,0.000
1782839606701,34881,lo,1207305,0,0,30767,0,0,0.000
1782839606951,35130,lo,1238088,0,0,30783,0,0,0.000
1782839607203,35382,lo,1268996,0,0,30908,0,0,0.000
1782839607454,35633,lo,1299890,0,0,30894,0,0,0.000
1782839607706,35886,lo,1330796,0,0,30906,0,0,0.000
1782839607956,36135,lo,1361670,1887,0,30874,1887,0,0.139
1782839608208,36387,lo,1392547,1887,0,30877,0,0,0.136
1782839608459,36639,lo,1423684,1887,0,31137,0,0,0.133
1782839608711,36891,lo,1454542,1887,0,30858,0,0,0.130
1782839608962,37141,lo,1485514,1887,0,30972,0,0,0.127
1782839609213,37392,lo,1516590,1887,0,31076,0,0,0.124
1782839609464,37643,lo,1547453,1887,0,30863,0,0,0.122
1782839609715,37895,lo,1578446,1887,0,30993,0,0,0.120
1782839609966,38145,lo,1609294,1887,0,30848,0,0,0.117
1782839610217,38396,lo,1640246,1887,0,30952,0,0,0.115
1782839610467,38646,lo,1671216,1887,0,30970,0,0,0.113
1782839610719,38899,lo,1702298,1887,0,31082,0,0,0.111
1782839610972,39151,lo,1733322,3355,0,31024,1468,0,0.194
1782839611222,39401,lo,1764160,3593,0,30838,238,0,0.204
1782839611473,39652,lo,1794954,3593,0,30794,0,0,0.200
1782839611723,39903,lo,1825950,4032,0,30996,439,0,0.221
1782839611974,40153,lo,1856736,4032,0,30786,0,0,0.217
1782839612226,40405,lo,1887750,6877,0,31014,2845,0,0.364
1782839612476,40655,lo,1918696,6877,0,30946,0,0,0.358
1782839612727,40907,lo,1949520,6877,0,30824,0,0,0.353
1782839612978,41157,lo,1980434,6877,0,30914,0,0,0.347
1782839613229,41408,lo,2011242,6877,0,30808,0,0,0.342
1782839613479,41659,lo,2041916,6877,0,30674,0,0,0.337
1782839613730,41910,lo,2073048,6877,0,31132,0,0,0.332
1782839613981,42160,lo,2104082,6877,0,31034,0,0,0.327
1782839614233,42412,lo,2134966,6877,0,30884,0,0,0.322
1782839614484,42663,lo,2165897,6877,0,30931,0,0,0.318
1782839614734,42914,lo,2196736,6877,0,30839,0,0,0.313
1782839614987,43166,lo,2227720,6877,0,30984,0,0,0.309
1782839615237,43416,lo,2258536,6877,0,30816,0,0,0.304
1782839615491,43670,lo,2289576,6877,0,31040,0,0,0.300
1782839615741,43921,lo,2320552,6877,0,30976,0,0,0.296
1782839615992,44171,lo,2351502,6877,0,30950,0,0,0.292
1782839616243,44422,lo,2382316,6877,0,30814,0,0,0.289
1782839616494,44673,lo,2413392,6877,0,31076,0,0,0.285
1782839616745,44925,lo,2444413,6877,0,31021,0,0,0.281
1782839616997,45176,lo,2475438,6877,0,31025,0,0,0.278
1782839617247,45426,lo,2506308,6877,0,30870,0,0,0.274
1782839617497,45676,lo,2537270,6877,0,30962,0,0,0.271
1782839617748,45928,lo,2568192,6877,0,30922,0,0,0.268
1782839617999,46178,lo,2599288,12482,0,31096,5605,0,0.480
1782839618251,46430,lo,2630428,12482,0,31140,0,0,0.475
1782839618502,46682,lo,2661490,12482,0,31062,0,0,0.469
1782839618755,46935,lo,2692684,12482,0,31194,0,0,0.464
1782839619006,47185,lo,2723716,12482,0,31032,0,0,0.458
1782839619256,47435,lo,2754702,12482,0,30986,0,0,0.453
1782839619508,47687,lo,2785728,12482,0,31026,0,0,0.448
1782839619758,47938,lo,2816670,12920,0,30942,438,0,0.459
1782839620010,48189,lo,2847662,12920,0,30992,0,0,0.454
1782839620261,48441,lo,2878726,12920,0,31064,0,0,0.449
1782839620512,48691,lo,2909690,12920,0,30964,0,0,0.444
1782839620763,48943,lo,2940462,12920,0,30772,0,0,0.439
1782839621015,49194,lo,2971400,12920,0,30938,0,0,0.435
1782839621265,49444,lo,3002376,12920,0,30976,0,0,0.430
1782839621516,49695,lo,3033656,12920,0,31280,0,0,0.426
1782839621770,49950,lo,3064542,12920,0,30886,0,0,0.422
1782839622022,50201,lo,3095606,12920,0,31064,0,0,0.417
1782839622282,50461,lo,3127160,12920,0,31554,0,0,0.413
1782839622533,50712,lo,3158606,12920,0,31446,0,0,0.409
1782839622783,50963,lo,3189444,12920,0,30838,0,0,0.405
1782839623034,51213,lo,3220278,12920,0,30834,0,0,0.401
1782839623285,51464,lo,3251098,12920,0,30820,0,0,0.397
1782839623536,51715,lo,3281932,12920,0,30834,0,0,0.394
1782839623787,51968,lo,3312930,12920,0,30998,0,0,0.390
1782839624038,52217,lo,3343760,12920,0,30830,0,0,0.386
1782839624288,52467,lo,3374536,12920,0,30776,0,0,0.383
1782839624538,52717,lo,3405482,12920,0,30946,0,0,0.379
1782839624789,52969,lo,3436444,12920,0,30962,0,0,0.376
1782839625040,53219,lo,3467346,12920,0,30902,0,0,0.373
1782839625292,53471,lo,3498490,12920,0,31144,0,0,0.369
1782839625543,53722,lo,3529504,12920,0,31014,0,0,0.366
1782839625793,53973,lo,3560354,12920,0,30850,0,0,0.363
1782839626046,54225,lo,3591326,12920,0,30972,0,0,0.360
1782839626296,54475,lo,3622484,12920,0,31158,0,0,0.357
1782839626547,54726,lo,3653314,12920,0,30830,0,0,0.354
1782839626797,54977,lo,3684258,12920,0,30944,0,0,0.351
1782839627048,55227,lo,3715146,12920,0,30888,0,0,0.348
1782839627298,55477,lo,3746072,12920,0,30926,0,0,0.345
1782839627549,55728,lo,3777040,12920,0,30968,0,0,0.342
1782839627800,55980,lo,3808038,12920,0,30998,0,0,0.339
1782839628051,56230,lo,3838888,12920,0,30850,0,0,0.337
1782839628301,56480,lo,3869754,12920,0,30866,0,0,0.334
1782839628552,56731,lo,3900622,12920,0,30868,0,0,0.331
1782839628802,56982,lo,3931400,12920,0,30778,0,0,0.329
1782839629053,57232,lo,3957560,12920,0,26160,0,0,0.326
1782839629707,57888,lo,3957560,12920,0,0,0,0,0.326
1782839630679,58860,lo,3957560,12920,0,0,0,0,0.326
1782839631406,59585,lo,3957560,12920,0,0,0,0,0.326
1782839632490,60669,lo,3957712,12920,0,152,0,0,0.326
1782839632741,60921,lo,3963992,12920,0,6280,0,0,0.326
1782839632992,61171,lo,3977828,12920,0,13836,0,0,0.325
1782839633244,61423,lo,3999308,12920,0,21480,0,0,0.323
1782839633495,61674,lo,4028088,12920,0,28780,0,0,0.321
1782839633747,61927,lo,4064314,12920,0,36226,0,0,0.318
1782839633998,62177,lo,4107724,12920,0,43410,0,0,0.315
1782839634268,62447,lo,4161060,12920,0,53336,0,0,0.310
1782839634527,62706,lo,4221078,34082,0,60018,21162,0,0.807
1782839634780,62960,lo,4278294,61105,0,57216,27023,0,1.428
1782839635043,63222,lo,4336252,95904,0,57958,34799,0,2.212
1782839635295,63474,lo,4391118,135739,0,54866,39835,0,3.091
