ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns,sip_pkt_ns,sip_pkt_cnt,rtp_pkt_ns,rtp_pkt_cnt
1782839571820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839572094,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839572345,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839572599,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839572849,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839573107,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839573365,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839573619,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839573872,2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839574123,2302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839574378,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839574644,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839574898,3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839575177,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839575428,3607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839575689,3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839575940,4119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839576191,4370,385518,357,0,0,6897,2414770,222,43221,222,1887719,91138,2083785,87,243720,135
1782839576442,4621,868678,1925,0,0,28406,6553240,1075,266202,1075,4705781,239710,4762932,224,1422608,851
1782839576692,4872,1626934,3525,0,0,50776,10687620,1919,479837,1919,7282252,409630,6988660,312,2967422,1607
1782839576942,5122,2645565,6182,0,0,85741,16687505,3302,703892,3302,11024249,548767,9874917,420,5400883,2882
