ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782839576869,4.6,5.5,5.3,6.3,3.2,1366,2031
1782839577869,9.7,12.1,9.0,9.9,6.5,1378,2019
1782839578869,10.2,9.2,11.6,13.8,8.1,1383,2014
1782839579870,10.9,10.5,11.9,12.9,6.8,1385,2012
1782839580871,10.7,10.6,12.5,11.6,5.3,1393,2005
1782839581871,9.3,14.6,9.3,9.2,4.1,1401,1996
1782839582872,11.1,14.4,12.2,11.4,7.8,1412,1985
1782839583873,16.6,16.7,19.3,15.9,11.1,1417,1980
1782839584874,16.8,18.5,21.4,17.3,12.5,1425,1972
1782839585875,18.8,19.3,20.5,22.6,12.9,1433,1964
1782839586876,16.5,17.4,17.3,16.3,11.1,1442,1955
1782839587876,19.0,20.0,22.9,17.7,15.5,1449,1948
1782839588878,20.0,24.7,21.7,18.5,13.0,1457,1940
1782839589878,17.3,22.4,18.1,16.7,12.3,1465,1932
1782839590879,20.2,23.5,22.2,17.9,14.5,1473,1925
1782839591879,18.9,21.7,20.5,20.3,15.2,1484,1914
1782839592880,19.2,19.0,17.5,24.1,15.9,1489,1908
1782839593880,18.8,19.0,21.7,17.9,13.7,1496,1901
1782839594881,18.9,19.8,18.8,24.1,14.3,1506,1891
1782839595882,19.2,26.6,19.8,15.6,14.5,1513,1884
1782839596883,20.6,30.1,20.0,19.0,11.6,1524,1873
1782839597884,19.8,23.5,18.2,20.0,14.1,1529,1868
1782839598885,20.8,22.2,22.5,23.1,15.7,1535,1862
1782839599886,20.4,23.1,17.1,23.4,17.6,1545,1852
1782839600886,22.7,24.7,25.3,26.2,11.9,1543,1854
1782839602262,0.2,0.0,0.0,0.0,1.5,1536,1861
1782839603637,0.0,0.0,0.0,0.0,0.0,1536,1861
1782839604638,11.0,12.4,13.6,9.4,7.4,1549,1848
1782839605639,41.2,40.3,46.2,46.2,28.1,1595,1802
1782839606640,64.2,59.5,57.5,58.8,85.1,1628,1769
1782839607645,77.2,87.0,68.8,74.4,76.5,1656,1741
