ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782719775742,0,lo,0,0,0,0,0,0,0.000
1782719775994,252,lo,0,0,0,0,0,0,0.000
1782719776246,503,lo,0,0,0,0,0,0,0.000
1782719776504,761,lo,0,0,0,0,0,0,0.000
1782719776754,1012,lo,0,0,0,0,0,0,0.000
1782719777005,1263,lo,0,0,0,0,0,0,0.000
1782719777257,1514,lo,0,0,0,0,0,0,0.000
1782719777509,1766,lo,0,0,0,0,0,0,0.000
1782719777765,2022,lo,0,0,0,0,0,0,0.000
1782719778017,2275,lo,0,0,0,0,0,0,0.000
1782719778298,2556,lo,0,0,0,0,0,0,0.000
1782719778550,2808,lo,0,0,0,0,0,0,0.000
1782719778810,3068,lo,0,0,0,0,0,0,0.000
1782719779077,3334,lo,0,0,0,0,0,0,0.000
1782719779346,3603,lo,0,0,0,0,0,0,0.000
1782719779598,3856,lo,0,0,0,0,0,0,0.000
1782719779849,4106,lo,0,0,0,0,0,0,0.000
1782719780099,4357,lo,820,0,0,820,0,0,0.000
1782719780350,4607,lo,2900,0,0,2080,0,0,0.000
1782719780601,4858,lo,6292,0,0,3392,0,0,0.000
1782719780852,5109,lo,10888,0,0,4596,0,0,0.000
1782719781102,5360,lo,16804,0,0,5916,0,0,0.000
1782719781353,5610,lo,23936,0,0,7132,0,0,0.000
1782719781604,5861,lo,32316,0,0,8380,0,0,0.000
1782719781854,6111,lo,41938,0,0,9622,0,0,0.000
1782719782105,6362,lo,52182,0,0,10244,0,0,0.000
1782719782355,6613,lo,62550,0,0,10368,0,0,0.000
1782719782607,6865,lo,72872,0,0,10322,0,0,0.000
1782719782858,7115,lo,83236,0,0,10364,0,0,0.000
1782719783109,7366,lo,93600,0,0,10364,0,0,0.000
1782719783359,7616,lo,103956,0,0,10356,0,0,0.000
1782719783610,7868,lo,114298,0,0,10342,0,0,0.000
1782719783862,8119,lo,124628,0,0,10330,0,0,0.000
1782719784112,8370,lo,134996,0,0,10368,0,0,0.000
1782719784367,8624,lo,145342,0,0,10346,0,0,0.000
1782719784617,8876,lo,155704,0,0,10362,0,0,0.000
1782719784870,9127,lo,166024,0,0,10320,0,0,0.000
