ts_unix_ms,sngrep_pct,sipp_pct
1782834553571,0.2,4.2
1782834554573,0.7,7.7
1782834555576,0.7,9.2
1782834556580,0.7,9.7
1782834557583,1.0,10.0
1782834558586,0.7,9.7
1782834559589,0.7,9.7
1782834560592,1.0,9.7
1782834561595,0.7,10.0
1782834562600,1.0,9.5
1782834563602,1.0,10.2
1782834564607,0.7,9.4
1782834565611,1.0,10.2
1782834566613,0.7,9.5
1782834567618,1.0,9.4
1782834568621,0.7,9.2
1782834569624,1.0,10.5
1782834570628,0.7,9.7
1782834571631,1.0,9.2
1782834572635,0.7,10.0
1782834573639,1.0,9.5
1782834574642,0.7,10.0
1782834575645,1.0,9.2
1782834576649,1.0,10.0
1782834577652,0.7,-198.8
1782834578662,0.0,0.5
1782834579671,0.2,0.5
1782834580674,0.0,0.5
1782834581678,1.0,10.5
1782834582685,2.5,23.3
1782834583690,2.5,31.4
1782834584695,3.0,33.1
1782834585700,3.2,31.8
1782834586703,2.7,32.4
1782834587707,3.0,32.4
1782834588711,2.7,31.6
1782834589715,3.0,32.1
1782834590720,2.7,31.8
1782834591725,3.0,32.6
1782834592730,2.7,32.6
1782834593734,2.7,32.6
1782834594740,2.5,33.3
1782834595746,2.7,32.3
1782834596750,2.7,32.4
1782834597757,3.0,33.5
1782834598762,3.2,32.8
1782834599769,2.7,33.0
1782834600773,2.5,33.1
1782834601777,3.0,32.3
1782834602780,2.7,32.7
1782834603784,3.0,33.1
1782834604787,2.5,32.7
1782834605793,3.0,-687.5
1782834606912,0.0,0.4
1782834607915,0.0,0.7
1782834608917,0.0,0.5
1782834609921,3.0,20.7
1782834610946,5.4,56.9
1782834611955,5.5,76.3
1782834612965,5.4,76.0
1782834614002,5.1,79.5
1782834615017,5.7,82.8
1782834616021,5.0,81.9
1782834617027,5.5,81.0
1782834618035,5.2,81.6
1782834619044,5.7,82.7
1782834620074,5.6,81.4
1782834621082,6.2,85.5
1782834622101,5.9,81.0
1782834623119,4.7,85.5
1782834624125,5.0,84.0
1782834625139,4.9,82.6
1782834626172,5.6,81.1
1782834627179,5.0,85.4
1782834628191,5.4,84.0
1782834629220,5.8,79.9
1782834630242,5.1,83.7
1782834631262,5.1,84.3
1782834632272,5.4,85.3
1782834633282,5.2,84.1
1782834634288,4.0,-1830.7
1782834635290,0.2,0.7
1782834636375,0.2,0.9
1782834637379,0.7,4.0
1782834638387,6.7,51.1
1782834639506,2.2,88.7
1782834640521,7.1,82.5
1782834641538,7.1,83.9
1782834642566,5.1,85.3
1782834643585,7.9,84.2
1782834644604,5.2,82.2
1782834645617,7.2,76.5
1782834646632,4.7,71.6
1782834647645,5.2,71.6
1782834648654,5.0,65.6
1782834649663,5.0,66.7
1782834650672,5.2,63.2
1782834651680,5.7,65.4
1782834652685,6.2,64.0
1782834653693,6.0,66.7
1782834654704,6.2,66.0
1782834655710,6.7,67.6
1782834656721,6.2,66.0
1782834657727,6.5,65.4
1782834658737,5.4,64.1
1782834659742,5.7,66.2
1782834660748,6.2,65.8
1782834661754,6.5,64.4
1782834662760,3.7,33.3
1782834663772,0.0,0.7
1782834667784,0.0,0.9
1782834668786,0.2,-1676.4
1782834669789,0.0,0.5
1782834670793,0.0,0.5
1782834671812,0.0,0.2
