ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782834553568,5.9,7.2,5.3,7.4,5.6,1184,2213
1782834554568,8.5,9.7,9.7,9.6,3.7,1195,2202
1782834555568,12.5,12.0,12.4,11.0,12.8,1198,2199
1782834556569,12.5,16.0,14.9,10.9,11.8,1207,2191
1782834557570,13.5,15.1,13.2,12.1,11.6,1218,2179
1782834558571,12.0,11.0,12.4,13.0,10.7,1227,2171
1782834559574,11.5,14.0,11.0,11.2,10.5,1234,2164
1782834560574,12.3,13.3,13.0,12.2,11.6,1241,2157
1782834561576,13.3,14.1,14.0,12.9,10.7,1247,2150
1782834562576,12.5,15.2,13.0,11.8,9.5,1257,2141
1782834563577,13.3,14.1,15.2,12.2,10.7,1263,2134
1782834564577,12.2,15.1,12.0,14.1,9.5,1270,2127
1782834565578,11.7,12.1,11.1,14.0,9.4,1278,2119
1782834566579,11.5,12.2,12.1,10.1,7.2,1286,2111
1782834567579,11.7,13.0,13.2,12.0,10.6,1293,2104
1782834568581,12.0,13.2,14.0,11.0,11.6,1301,2096
1782834569581,12.5,15.1,11.4,12.9,10.7,1309,2088
1782834570581,12.7,14.0,14.0,12.1,9.4,1317,2080
1782834571582,12.2,13.2,11.8,11.8,11.9,1325,2073
1782834572584,11.9,13.0,12.9,11.0,10.8,1333,2065
1782834573586,12.7,12.0,11.8,15.2,11.5,1342,2056
1782834574586,11.9,13.0,12.8,12.5,10.3,1348,2049
1782834575588,12.5,13.0,11.1,12.1,10.6,1356,2041
1782834576589,11.8,12.2,12.1,11.1,13.8,1366,2031
1782834577589,11.5,14.4,8.9,10.9,8.5,1374,2023
1782834578708,1.1,1.8,2.7,0.9,1.8,1363,2035
1782834579851,0.0,0.0,0.0,0.0,0.0,1362,2035
1782834580853,2.8,3.0,3.1,3.1,2.0,1358,2039
1782834581853,14.5,15.7,17.4,13.8,10.7,1386,2011
1782834582854,30.1,27.7,28.0,31.7,31.2,1447,1950
1782834583854,35.5,35.8,33.8,34.6,41.1,1466,1931
1782834584855,37.2,37.0,35.8,33.8,42.9,1497,1901
1782834585855,37.4,35.8,34.6,38.1,40.5,1526,1871
1782834586856,36.8,34.6,35.8,33.8,41.6,1556,1841
1782834587857,34.6,36.6,33.3,33.3,37.0,1581,1817
1782834588857,34.4,31.6,40.2,32.5,32.4,1606,1791
1782834589858,34.6,37.0,35.4,36.2,30.0,1619,1778
1782834590859,36.4,32.5,41.7,38.6,30.6,1624,1774
1782834591860,35.6,34.1,32.5,35.4,39.7,1627,1770
1782834592861,36.1,34.6,37.3,34.6,39.2,1630,1767
1782834593862,37.0,39.3,36.2,39.0,32.4,1633,1765
1782834594863,36.3,34.2,43.9,35.8,28.8,1632,1765
1782834595863,36.4,35.0,44.7,36.6,29.7,1631,1766
1782834596864,35.9,39.3,35.8,42.0,26.0,1634,1763
1782834597864,38.4,41.5,36.6,43.5,31.6,1646,1751
1782834598866,37.7,41.0,40.2,42.7,25.0,1659,1738
1782834599866,36.3,39.0,40.7,38.6,27.4,1662,1735
1782834600867,38.1,40.5,39.5,36.7,34.2,1666,1731
1782834601869,35.7,37.8,33.8,36.2,34.7,1663,1734
1782834602870,37.5,41.0,39.8,36.6,31.5,1663,1734
1782834603870,36.6,38.6,41.5,36.2,29.7,1663,1734
1782834604871,36.2,41.0,39.8,33.8,28.8,1664,1733
1782834605873,30.0,30.6,32.1,28.2,30.4,1595,1802
1782834606910,0.5,0.0,1.0,0.0,1.0,1595,1802
1782834607912,0.8,0.0,1.0,1.0,1.0,1595,1802
1782834608913,1.3,1.0,1.0,1.0,1.0,1596,1801
1782834609913,24.6,24.4,27.3,20.9,25.6,1629,1768
1782834610918,67.4,70.2,64.6,62.5,72.4,1690,1707
1782834611922,87.5,85.4,85.4,86.4,94.6,1701,1696
1782834612936,86.8,82.3,82.9,84.0,97.6,1721,1676
1782834613942,90.0,89.4,86.2,86.9,97.6,1741,1656
1782834614956,93.5,93.3,92.2,93.0,96.0,1756,1641
1782834615959,92.3,89.9,100.0,87.6,90.1,1762,1636
1782834616962,91.0,88.2,90.7,86.4,98.8,1763,1634
1782834617964,91.5,93.1,86.9,88.5,98.8,1768,1629
1782834618969,92.6,98.9,87.1,87.1,96.2,1775,1622
1782834619970,91.8,93.3,86.2,90.8,96.2,1784,1613
1782834620973,95.7,95.5,95.5,97.8,95.0,1786,1611
1782834621976,91.3,87.5,91.4,90.5,97.3,1785,1612
1782834622992,93.6,94.0,90.6,91.8,97.5,1787,1610
1782834624004,92.6,94.1,91.7,90.4,95.7,1791,1606
1782834625005,92.2,97.8,90.8,88.4,90.3,1792,1605
1782834626011,91.3,90.8,89.4,96.7,88.1,1797,1600
1782834627021,93.7,94.3,96.5,89.5,94.6,1799,1598
1782834628023,93.7,93.1,94.2,93.0,93.1,1800,1597
1782834629024,90.2,100.0,84.5,85.1,90.3,1802,1595
1782834630026,93.4,90.8,89.5,97.8,96.4,1803,1594
1782834631035,93.3,86.6,91.6,96.5,98.7,1806,1591
1782834632036,93.7,89.5,98.9,92.1,93.2,1807,1590
